,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Qrfprl,0.432362401,0.046474995,0.045,0.034,1
Qrich1,0.531666488,0.057304833,0.665,0.648,1
Qrich2,0.192753381,0.005720159,0.004,0,1
Qrsl1,0.457346858,-0.038539824,0.387,0.407,1
Qser1,0.277477048,0.069040964,0.398,0.354,1
Qsox1,0.057854924,0.043496732,0.18,0.13,1
Qsox2,0.369767314,0.057845873,0.166,0.148,1
Qtrt1,0.690579959,-0.002221631,0.324,0.307,1
Qtrt2,0.897793912,-0.032585078,0.148,0.14,1
R3hcc1,0.137835655,-0.048051943,0.054,0.079,1
R3hcc1l,0.149036102,0.064202645,0.285,0.243,1
R3hdm1,0.85751796,0.011506615,0.924,0.913,1
R3hdm2,0.350954329,-0.041096766,0.807,0.772,1
R3hdm4,0.38330926,-0.067867187,0.227,0.246,1
R3hdml,0.469658754,-0.003438274,0.002,0.005,1
R74862,0.032760999,0.045708785,0.067,0.034,1
Rab10,0.10638452,0.101040031,0.609,0.577,1
Rab10os,0.414459609,-0.110779097,0.404,0.413,1
Rab11a,0.456576216,0.009447466,0.33,0.304,1
Rab11b,0.963317231,0.023645096,0.222,0.225,1
Rab11fip1,0.485589966,-0.012485979,0.043,0.053,1
Rab11fip2,0.021221554,0.094720107,0.694,0.616,1
Rab11fip3,0.962650467,-0.001674923,0.676,0.683,1
Rab11fip4,0.725967089,-0.02476383,0.667,0.651,1
Rab11fip4os1,0.906834676,-0.017633598,0.128,0.13,1
Rab11fip4os2,0.090878962,0.012278795,0.013,0.003,1
Rab11fip5,0.908909584,-0.013897349,0.306,0.302,1
Rab12,0.689782791,-0.007636584,0.449,0.421,1
Rab13,0.98558362,0.024729006,0.121,0.124,1
Rab14,0.588109035,0.034063477,0.454,0.431,1
Rab15,6.60791529093629e-05,0.268840154,0.434,0.328,1
Rab18,0.190818214,0.041535735,0.339,0.307,1
Rab19,0.187859841,0.016441396,0.022,0.011,1
Rab1a,0.046727927,0.078033728,0.431,0.354,1
Rab1b,0.501781847,-0.009479262,0.085,0.101,1
Rab20,0.662168374,0.000931017,0.004,0.003,1
Rab21,0.018057103,0.067895397,0.544,0.463,1
Rab22a,0.731584572,-0.01913823,0.202,0.217,1
Rab23,0.497176009,0.012702815,0.182,0.164,1
Rab24,0.021828037,-0.135666619,0.384,0.444,1
Rab25,0.469658754,-0.00965294,0.002,0.005,1
Rab26,0.494978936,-0.078293946,0.216,0.235,1
Rab26os,0.315996934,-0.00759537,0.038,0.053,1
Rab27a,0.893454038,0.001876485,0.308,0.299,1
Rab27b,0.295061065,0.019764935,0.351,0.315,1
Rab28,0.965409007,0.030038223,0.571,0.601,1
Rab29,0.471392293,-0.002646311,0.002,0.005,1
Rab2a,0.822735199,0.019151178,0.726,0.69,1
Rab2b,0.636634932,-0.046450312,0.337,0.347,1
Rab30,0.157735532,0.051868443,0.733,0.698,1
Rab31,0.355674919,0.061568125,0.333,0.312,1
Rab32,0.21867788,-0.012232563,0.022,0.037,1
Rab33a,0.039566641,0.049064125,0.126,0.082,1
Rab33b,0.788942868,-0.035228529,0.061,0.056,1
Rab34,0.28665722,-0.021858199,0.018,0.029,1
Rab35,0.654041376,-0.032253264,0.07,0.077,1
Rab36,0.223967371,-0.044981711,0.16,0.193,1
Rab37,0.278484952,-0.053735536,0.303,0.336,1
Rab38,0.278998137,-0.002808795,0,0.003,1
Rab39,0.00321305,0.120666587,0.119,0.061,1
Rab39b,0.683759738,-0.004977686,0.085,0.077,1
Rab3a,0.090370514,-0.12468849,0.33,0.381,1
Rab3b,0.114903925,-0.0747761,0.04,0.021,1
Rab3c,1.84522239916122e-06,0.229446656,0.975,0.934,0.049057083
Rab3d,0.126112951,-0.02231733,0.007,0.019,1
Rab3gap1,0.723299471,-0.006039232,0.784,0.733,1
Rab3gap2,5.4509192650783e-09,0.320459068,0.697,0.534,0.000144918
Rab3il1,0.994963832,0.01802108,0.031,0.032,1
Rab3ip,0.355644679,-0.006163111,0.283,0.254,1
Rab40b,0.805304572,0.028895345,0.126,0.122,1
Rab40c,0.424493443,-0.021474586,0.551,0.519,1
Rab42,0.354352645,0.024477416,0.031,0.021,1
