,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Sertad2,0.1498034,0.118906699,0.545,0.539,1
Amfr,0.356793879,0.11884831,0.282,0.273,1
Galk2,0.226042742,0.118843102,0.36,0.349,1
Suds3,0.229742741,0.11879558,0.404,0.395,1
Selenot,0.162586363,0.11872207,0.355,0.345,1
Natd1,0.862367755,0.118662655,0.073,0.074,1
Tmem116,0.499317695,0.118627102,0.112,0.106,1
Gm38562,0.779005594,0.118559928,0.026,0.027,1
Cap1,0.842066872,0.118350618,0.304,0.309,1
Fbxo41,0.084399127,0.118288296,0.431,0.419,1
Wdfy4,0.670773736,0.118231761,0.04,0.043,1
Ccdc66,0.119411859,0.11820676,0.423,0.407,1
Babam2,0.033089471,0.118081962,0.543,0.533,1
Mef2c,0.32824319,0.118065658,0.393,0.427,1
Atg13,0.566971547,0.118032887,0.363,0.362,1
Btrc,0.019747435,0.118010386,0.698,0.685,1
Rbbp9,0.9663957,0.117988247,0.105,0.106,1
Gm44899,0.901082461,0.117951295,0.226,0.229,1
Snn,0.395331516,0.117878177,0.068,0.076,1
Susd4,0.074028063,0.117866901,0.561,0.549,1
Nifk,0.993179454,0.117855971,0.094,0.095,1
Naa35,0.066525542,0.117810558,0.47,0.452,1
Bbs5,0.446876245,0.117680442,0.435,0.435,1
Nsmaf,0.010287048,0.117648565,0.516,0.491,1
Mrpl13,0.552707294,0.117635762,0.15,0.145,1
Entpd7,0.729948638,0.117567237,0.197,0.196,1
Pde4dip,4.03E-05,0.117366322,0.884,0.874,1
Tmem132e,0.787901391,0.117325912,0.188,0.189,1
Apba1,0.000261014,0.117278112,0.906,0.878,1
Hk1,0.068412154,0.117274248,0.521,0.504,1
Frmd4b,0.000731636,0.117252757,0.787,0.751,1
Trhde,0.072571483,0.117250857,0.347,0.322,1
Zfp612,0.31424064,0.117208235,0.608,0.601,1
Ten1,0.936433122,0.117103905,0.162,0.163,1
Slc30a4,0.541374112,0.11708736,0.076,0.072,1
Agbl1,0.180120227,0.117083484,0.14,0.128,1
Gpr45,0.042747691,0.117068031,0.536,0.521,1
Ranbp9,0.01331775,0.116965576,0.622,0.602,1
Ctnnb1,0.478687128,0.11691082,0.234,0.227,1
Cabcoco1,0.449252501,0.116896228,0.07,0.064,1
Ddx5,0.006722726,0.116894963,0.758,0.754,1
Kmt2a,0.000376549,0.116882927,0.791,0.766,1
A230057D06Rik,3.35E-08,0.116881096,0.976,0.975,0.000891867
Zbtb8b,0.963020822,0.116830874,0.023,0.023,1
Celf4,2.28E-05,0.116696132,0.957,0.952,0.606532862
Esrra,0.920521151,0.116676469,0.236,0.24,1
Cdkal1,0.005240933,0.116623879,0.72,0.703,1
Fut11,0.261471127,0.116501778,0.088,0.078,1
Limch1,0.001067762,0.116496741,0.816,0.801,1
Grik4,0.003677928,0.116467063,0.857,0.847,1
Ddx31,0.936553781,0.116436643,0.168,0.171,1
Nrxn3,4.09E-05,0.116429145,0.984,0.989,1
Slc2a13,0.005691548,0.116305006,0.787,0.772,1
1110015O18Rik,0.999430423,0.116269512,0.029,0.029,1
