,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Rft1,0.900394592,0.068426211,0.1,0.101,1
Rftn1,0.020996894,0.356402702,0.061,0.053,1
Rftn2,0.135949058,0.13541038,0.03,0.034,1
Rfwd3,0.052629355,0.043757646,0.221,0.24,1
Rfx1,5.27E-07,-0.122656775,0.207,0.246,0.014011452
Rfx2,0.527482062,0.238416895,0.02,0.018,1
Rfx3,0.084574336,-0.021914201,0.734,0.763,1
Rfx4,0.405543768,0.27102911,0.139,0.137,1
Rfx5,0.000563408,-0.171063945,0.068,0.084,1
Rfx7,0.397070437,-0.03162299,0.871,0.886,1
Rfxank,0.009465836,-0.023201935,0.053,0.063,1
Rfxap,8.44E-10,-0.362830164,0.089,0.121,2.24E-05
Rgcc,0.212772918,-0.458306684,0.011,0.013,1
Rgl1,5.13E-10,0.166227724,0.731,0.719,1.36E-05
Rgl2,0.000388565,-0.181216688,0.184,0.209,1
Rgl3,0.000354342,-0.649048784,0.01,0.017,1
Rgma,1.08E-07,0.316061727,0.294,0.261,0.002862271
Rgmb,4.71E-06,-0.139417354,0.201,0.237,0.125240928
Rgp1,1.57E-14,-0.364871174,0.229,0.287,4.17E-10
Rgs10,0.003029255,-0.150839037,0.058,0.071,1
Rgs11,5.24E-09,0.33266382,0.368,0.335,0.000139339
Rgs12,0.00067744,-0.588627499,0.013,0.02,1
Rgs13,0.000443421,-0.474613429,0.006,0.011,1
Rgs17,0.06557334,-0.030107543,0.8,0.818,1
Rgs19,6.28E-06,-0.334953404,0.048,0.066,0.166978895
Rgs2,2.27E-20,-0.481615419,0.085,0.133,6.02E-16
Rgs20,7.74E-18,0.429422481,0.433,0.386,2.06E-13
Rgs22,0.093256743,0.028670277,0.047,0.041,1
Rgs3,2.72E-05,-0.606542552,0.027,0.039,0.72336315
Rgs4,8.07E-23,-0.512348875,0.147,0.21,2.14E-18
Rgs6,1.85E-21,0.26338454,0.833,0.848,4.92E-17
Rgs7,3.78E-35,0.134390204,0.981,0.975,1.01E-30
Rgs7bp,0.338495587,-0.008238326,0.861,0.87,1
Rgs8,0.270809289,0.022896941,0.113,0.119,1
Rgs9,0.170177133,0.314908381,0.208,0.205,1
Rgsl1,0.386583626,0.17582882,0.096,0.093,1
Rhbdd1,0.080820966,-0.040191284,0.221,0.236,1
Rhbdd2,3.59E-05,-0.188216311,0.16,0.187,0.955617417
Rhbdd3,0.027106138,0.18551778,0.263,0.254,1
Rhbdf1,0.007458462,-0.292330859,0.016,0.022,1
Rhbdl1,3.03E-32,-0.462536043,0.431,0.529,8.05E-28
Rhbdl2,0.162992064,-0.208458613,0.008,0.01,1
Rhbdl3,5.75E-12,0.309402891,0.516,0.5,1.53E-07
Rhd,5.13E-18,-0.951203961,0.036,0.068,1.36E-13
Rheb,1.26E-10,-0.202155355,0.419,0.477,3.35E-06
Rhebl1,2.10E-05,-0.290270368,0.068,0.087,0.55944965
Rhno1,0.18006867,-0.112537883,0.07,0.076,1
Rhoa,4.01E-10,-0.179564253,0.445,0.504,1.07E-05
Rhob,0.00835972,-0.1322347,0.073,0.085,1
Rhobtb1,0.616648293,0.116929827,0.145,0.15,1
Rhobtb2,2.86E-06,-0.130558267,0.464,0.501,0.076160985
Rhobtb3,0.132350679,0.015108972,0.292,0.31,1
Rhod,0.488620615,-0.114334982,0.02,0.022,1
Rhof,0.295157769,0.12948607,0.33,0.331,1
Rhog,0.843479468,0.14692417,0.019,0.019,1
