,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Glb1,0.023991987,0.004791613,0.22,0.308,1
Glb1l,0.954904353,0.037757588,0.086,0.088,1
Glb1l2,0.216971678,-0.002735465,0.008,0.017,1
Glb1l3,0.080352947,-0.016004468,0.004,0.015,1
Glcci1,0.000199519,-0.14141652,0.501,0.669,1
Glce,0.017699747,0.215727798,0.517,0.505,1
Gldc,0.919236377,0.009909164,0.022,0.023,1
Gldn,0.069783384,0.06240649,0.038,0.019,1
Gldnos,0.522055541,0.006100063,0.01,0.006,1
Gle1,0.597483,0.01246442,0.347,0.39,1
Glg1,0.640492387,0.054355222,0.659,0.702,1
Gli1,0.306401045,-0.001494735,0,0.002,1
Gli2,0.972292772,-0.000506104,0.002,0.002,1
Gli3,0.011871148,-0.013887082,0,0.013,1
Glipr1,0.838923598,0.013719215,0.04,0.038,1
Glipr1l1,0.330201364,0.004202629,0.002,0,1
Glipr1l3,0.330201364,0.005490267,0.002,0,1
Glipr2,0.95459829,-0.001234358,0.006,0.006,1
Glis1,0.030809037,-0.039254014,0.182,0.243,1
Glis2,0.971995038,0.074228215,0.251,0.268,1
Glis3,0.570305782,0.000300816,0.016,0.021,1
Glmn,0.183335339,0.121974854,0.437,0.447,1
Glmp,0.003782332,-0.081411348,0.028,0.067,1
Glo1,0.00247689,-0.037463678,0.084,0.149,1
Glod4,0.895846609,0.070848156,0.283,0.302,1
Glod5,0.328671374,-5.03E-05,0.03,0.042,1
Glp1r,0.972292772,-0.001568769,0.002,0.002,1
Glp2r,0.604458552,0.007887142,0.02,0.025,1
Glra1,0.308770603,0.079975286,0.737,0.748,1
Glra2,0.283913983,0.008540953,0.471,0.541,1
Glra3,0.859108228,0.084045179,0.313,0.333,1
Glra4,0.492745469,0.000787936,0.026,0.034,1
Glrb,0.987136941,0.064172408,0.8,0.853,1
Glrp1,0.659568139,0.001211705,0.006,0.008,1
Glrx,0.305724559,-0.026793151,0.116,0.14,1
Glrx2,0.028809091,-0.071294443,0.246,0.319,1
Glrx3,0.014913687,-0.034360785,0.345,0.449,1
Glrx5,0.000184547,-0.147625434,0.124,0.22,1
Gls,0.532641344,0.025992312,0.906,0.937,1
Gls2,0.039061748,-0.019451729,0.349,0.432,1
Glt1d1,0.938628989,0.077731918,0.341,0.371,1
Glt28d2,0.330201364,0.002529992,0.002,0,1
Glt6d1,0.306401045,-0.001680616,0,0.002,1
Glt8d1,0.000518473,-0.092442144,0.451,0.593,1
Glt8d2,0.612882687,0.011269419,0.014,0.01,1
Gltp,0.309105218,-0.000317048,0.026,0.038,1
Glud1,0.816021888,0.040274492,0.583,0.635,1
Glul,0.031738655,-0.027813054,0.024,0.05,1
Glyat,0.316418826,0.005836556,0.016,0.025,1
Glycam1,0.974600892,0.005070233,0.002,0.002,1
Glyctk,0.615421235,-0.00039036,0.004,0.006,1
Glyr1,0.761773524,0.06209196,0.455,0.484,1
Gm10010,0.20558243,-0.021956631,0.048,0.067,1
Gm10030,0.306401045,-0.000685638,0,0.002,1
Gm10032,0.972292772,-0.00257148,0.002,0.002,1
Gm10037,0.046819341,-0.031867234,0.032,0.059,1
Gm10053,0.040187018,-0.006523508,0,0.008,1
Gm10062,0.462818729,0.001449788,0.02,0.027,1
Gm10067,0.040187018,-0.006511026,0,0.008,1
Gm10069,0.995557815,0.058440381,0.152,0.159,1
Gm10076,0.00300685,-0.038556335,0.044,0.092,1
Gm10097,0.06471258,0.072077624,0.09,0.061,1
Gm10101,0.147435628,-0.004755322,0,0.004,1
Gm10115,0.280044698,0.011810155,0.016,0.008,1
Gm10125,0.009345628,0.162840367,0.717,0.725,1
Gm10130,0.358487454,-0.047385043,0.15,0.174,1
Gm10135,0.000542788,0.145022708,0.238,0.157,1
Gm10138,0.209828772,-0.005249677,0.072,0.096,1
Gm10143,0.535591096,-0.004859906,0.002,0.004,1
Gm10160,0.35890426,-0.001296342,0.012,0.006,1
Gm10184,0.306401045,-0.000969475,0,0.002,1
Gm10188,0.16783824,0.002374698,0.004,0,1
Gm10220,0.147435628,-0.004334199,0,0.004,1
Gm10226,0.16783824,0.002527147,0.004,0,1
Gm10244,0.141830561,-0.001402839,0.02,0.036,1
Gm10248,0.230015433,-0.027794014,0.038,0.055,1
Gm10277,0.899511888,0.012128994,0.022,0.021,1
Gm10280,0.231739407,-0.004403569,0.004,0.01,1
Gm10282,0.616711258,0.00057247,0.004,0.006,1
Gm10287,0.961600216,0.003276763,0.004,0.004,1
Gm10300,0.16783824,0.005940086,0.004,0,1
Gm10308,0.897490467,0.007597648,0.02,0.019,1
Gm10309,0.174393741,-0.012873356,0.006,0.015,1
Gm10338,0.306401045,-0.001959712,0,0.002,1
Gm10353,0.678462738,-0.001218466,0.094,0.103,1
Gm10369,0.572254861,0.011009288,0.012,0.008,1
Gm10371,0.120728928,-0.017816795,0.094,0.128,1
Gm10373,0.005545637,-0.02586164,0.04,0.084,1
Gm10382,0.361210691,0.009899077,0.02,0.029,1
Gm10384,0.330201364,0.003391401,0.002,0,1
Gm10389,0.283112263,0.007094728,0.01,0.004,1
Gm10390,0.089200944,-0.012576356,0.002,0.01,1
Gm10392,0.59144929,0.0067432,0.004,0.002,1
Gm10399,0.935080753,0.011456053,0.014,0.015,1
