,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
C77080,5.22093656704911e-36,-0.264305927123818,0.25,0.344,1.38803819571568e-31
Mctp1,7.27519154115709e-36,0.213913548116043,0.799,0.774,1.93418242313202e-31
Gm21798,5.35240289228959e-35,0.248052367357809,0.479,0.406,1.42298983294411e-30
Galnt16,2.02287834833685e-34,0.214881434281983,0.575,0.53,5.37802437688835e-30
Gm47271,7.43901987417899e-34,0.205963423656694,0.509,0.442,1.97773782374923e-29
Tcerg1l,9.07275659650215e-34,0.204486788939538,0.567,0.515,2.41208306874606e-29
Gm32004,1.2715815251349e-32,-0.202065365465382,0.054,0.107,3.38062664272365e-28
Itgbl1,1.50703375957465e-31,0.206470697149332,0.509,0.441,4.00659995320517e-27
Dgkz,1.71537086379685e-30,-0.20797855067931,0.675,0.708,4.56048497849031e-26
Cdkl5,1.50044701297795e-29,-0.204060562715414,0.7,0.728,3.98908842870317e-25
Gm37267,1.7838067826085e-29,-0.288913132873477,0.024,0.062,4.74242871224295e-25
Tafa2,8.86057943095411e-29,0.224765806591366,0.599,0.533,2.35567364751346e-24
Sipa1l1,2.37926879891141e-28,0.202029940879541,0.851,0.826,6.32552402878588e-24
Pde1a,2.84084807468046e-28,-0.313650928889937,0.781,0.825,7.55267869134546e-24
Ano3,8.24964305618446e-27,-0.211475124554993,0.807,0.831,2.1932501029172e-22
Gm48749,8.87645036953297e-27,0.245947210566923,0.356,0.288,2.35989309524404e-22
Cacna1e,2.20050466817648e-25,0.204632576889866,0.877,0.868,5.850261710814e-21
Arap2,5.45039306030537e-25,-0.211842593208224,0.509,0.559,1.44904149901278e-20
Grin2a,8.44471115876165e-25,0.228455447673434,0.868,0.868,2.24511090866837e-20
Ppm1e,2.37645465103945e-24,0.200831788511401,0.916,0.912,6.31804233525347e-20
Scn9a,9.2076384387227e-24,0.312530060534253,0.591,0.538,2.44794275531882e-19
Iqgap2,1.41484889547099e-23,0.285592988139415,0.537,0.519,3.76151727349916e-19
Nfs1,9.73472737388906e-23,-0.242007780951707,0.478,0.547,2.58807461962214e-18
A830018L16Rik,1.51802509411333e-22,0.228654238712706,0.771,0.764,4.0358215152097e-18
Dpp10,2.44283369930942e-22,0.277945862808942,0.984,0.992,6.49451767298402e-18
Rgs6,1.39633092309952e-21,0.224326337518587,0.833,0.847,3.71228539215239e-17
Sphkap,2.59435893025578e-21,0.245228458045885,0.67,0.663,6.89736265197803e-17
4930509J09Rik,8.18500770046134e-21,0.218039523312628,0.451,0.398,2.17606614724465e-16
Sntb2,1.3275318556435e-20,0.206309375765653,0.673,0.661,3.52937619141381e-16
Pam,4.46175094112384e-19,0.207677571109635,0.695,0.672,1.18620110520718e-14
B230217J21Rik,1.98380751823499e-18,0.261332657786206,0.43,0.38,5.27415066797954e-14
Gm2164,2.29670847694235e-17,0.216739182903296,0.643,0.645,6.10602915679894e-13
Kirrel3,1.68652587555782e-14,0.206382312271163,0.857,0.856,4.48379769275802e-10
Lamb3,2.39111508889834e-14,-0.465348753337516,0.102,0.143,6.35701857534512e-10
Ptk2b,1.33343572412875e-13,0.224564939547096,0.518,0.522,3.54507221616869e-09
Dscaml1,3.53352897128641e-12,0.231104242347033,0.576,0.588,9.39424012306205e-08
Gm15398,0.000201054119173703,0.225416988476942,0.329,0.311,1
Gm42418,0.019838365037048,-0.20978819575028,0.956,0.929,1
