,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Slc22a22,0.951475295,-0.001647495,0.009,0.009,1
Slc22a23,0.026804314,0.033977796,0.781,0.788,1
Slc22a27,0.245849717,-0.001941958,0.002,0.003,1
Slc22a28,0.041666209,0.000297324,0.001,0,1
Slc22a29,0.926606311,-0.00043356,0.002,0.002,1
Slc22a3,0.040291204,-0.006761037,0.005,0.008,1
Slc22a30,0.126873866,0.004554864,0.01,0.008,1
Slc22a4,0.007044323,-0.008519761,0.09,0.104,1
Slc22a5,0.237250177,-0.003610208,0.183,0.193,1
Slc22a7,0.465150448,-0.001449963,0.007,0.008,1
Slc22a8,0.094298503,0.001035383,0.001,0.001,1
Slc23a1,0.059292636,-0.003479062,0.073,0.081,1
Slc23a2,0.004106705,-0.026878884,0.706,0.723,1
Slc23a3,0.000473609,-0.006461318,0.003,0.006,1
Slc23a4,0.465656732,0.002182253,0.021,0.019,1
Slc24a1,0.039089192,0.006155885,0.034,0.028,1
Slc24a2,0.318925168,0.014755267,0.952,0.955,1
Slc24a3,0.077927242,0.065238075,0.311,0.302,1
Slc24a4,1.05E-28,0.119043406,0.271,0.204,2.78E-24
Slc24a5,3.92E-08,0.038940466,0.78,0.761,0.001041127
Slc25a1,6.00E-16,-0.058061012,0.141,0.191,1.60E-11
Slc25a10,1.66E-12,-0.030296253,0.057,0.087,4.42E-08
Slc25a11,5.28E-11,-0.041051973,0.13,0.169,1.40E-06
Slc25a12,0.540512325,0.015001737,0.818,0.824,1
Slc25a13,0.029635708,-0.007869035,0.203,0.219,1
Slc25a14,0.450910826,0.002931324,0.253,0.263,1
Slc25a15,0.043038497,-0.001755376,0.033,0.039,1
Slc25a16,0.032608618,-0.014317932,0.33,0.353,1
Slc25a17,0.005493993,-0.005371336,0.189,0.21,1
Slc25a18,0.287314395,0.007505912,0.034,0.031,1
Slc25a19,3.25E-11,-0.045960618,0.142,0.183,8.64E-07
Slc25a2,0.001370776,-0.002892433,0.002,0.004,1
Slc25a20,0.021540802,-0.016990572,0.152,0.167,1
Slc25a21,0.993749352,0.001191311,0.014,0.014,1
Slc25a22,1.25E-23,-0.06013047,0.142,0.207,3.32E-19
Slc25a23,0.000111292,0.05592173,0.658,0.648,1
Slc25a24,0.283674265,0.003169285,0.01,0.009,1
Slc25a25,4.78E-10,-0.032139721,0.338,0.395,1.27E-05
Slc25a26,0.000967633,0.053082893,0.479,0.469,1
Slc25a27,3.81E-11,0.098328004,0.675,0.639,1.01E-06
Slc25a28,0.004049569,-0.012025381,0.277,0.304,1
Slc25a29,0.713330986,0.00169959,0.055,0.054,1
Slc25a3,5.01E-17,-0.08861368,0.725,0.789,1.33E-12
Slc25a30,0.153980439,0.015942102,0.094,0.088,1
Slc25a31,0.95244703,-1.75E-05,0.008,0.008,1
Slc25a32,0.014291655,-0.000519354,0.222,0.245,1
Slc25a33,6.50E-10,-0.04325426,0.273,0.324,1.73E-05
Slc25a34,0.646469673,-0.000798115,0.009,0.01,1
Slc25a35,0.01016128,-0.001962968,0.019,0.025,1
