812,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cSCI
Sergef,1.09E-07,-0.695957408,0.287,0.376,0.002375055,0
Polr3e,0.000175781,-0.695882399,0.229,0.278,1,0
Dtymk,0.005401863,-0.695438857,0.141,0.178,1,0
Pigl,0.053923459,-0.695030291,0.158,0.178,1,0
Fastkd2,0.003214196,-0.694986202,0.208,0.245,1,0
E430024I08Rik,0.067509655,-0.694933742,0.124,0.144,1,0
Sh3bgrl,0.000154661,-0.694432941,0.159,0.216,1,0
Tacc2,2.10E-08,-0.693987988,0.365,0.442,0.000456881,0
Pard3,3.17E-21,-0.693306591,0.584,0.686,6.89E-17,0
Pms2,8.19E-05,-0.69327338,0.245,0.301,1,0
B230334C09Rik,1.54E-17,-0.693261793,0.536,0.637,3.34E-13,0
Rad51c,0.007995742,-0.692577758,0.04,0.066,1,0.444913525
Sdhd,0.283107758,-0.692330669,0.046,0.055,1,0
Tmem63b,8.35E-29,-0.692261442,0.706,0.789,1.81E-24,0
Ipcef1,2.09E-10,-0.692261412,0.383,0.476,4.55E-06,0
Tgds,0.182158043,-0.692109325,0.067,0.08,1,0
4632404H12Rik,0.085949987,-0.69163601,0.068,0.086,1,0
Zbtb14,0.222808299,-0.691533099,0.068,0.08,1,0
Iqch,0.05916227,-0.691323009,0.097,0.12,1,0
Idh3g,0.000816055,-0.690991073,0.241,0.283,1,0
Emc3,3.56E-06,-0.690697494,0.339,0.392,0.077217509,0
Ndufa5,0.0584866,-0.690193425,0.163,0.182,1,0
Mfsd13a,0.005149364,-0.689649419,0.182,0.22,1,0
Scp2,0.000388166,-0.689296226,0.189,0.239,1,0
Calhm2,0.257354659,-0.689269208,0.066,0.076,1,0
Ppib,2.41E-10,-0.689246327,0.457,0.522,5.24E-06,0
4930428E07Rik,0.00089195,-0.688850582,0.128,0.176,1,0.340764722
Hdhd2,0.000253836,-0.688693824,0.206,0.259,1,0
9330111N05Rik,0.20876764,-0.688201691,0.046,0.057,1,0
Pkd2l2,0.001076945,-0.687727027,0.158,0.204,1,-0.563429509
Flt3l,0.030216289,-0.687472913,0.061,0.085,1,0
Cnst,0.012531782,-0.686675044,0.217,0.245,1,-0.56520238
A330008L17Rik,1.10E-14,-0.686326916,0.603,0.692,2.38E-10,-1.748726422
Tppp,0.009248147,-0.686304928,0.175,0.209,1,0
Rpl37,0.117178559,-0.686143534,0.113,0.131,1,0
Tspan12,0.044770545,-0.68581589,0.144,0.169,1,-0.839127844
Rxylt1,2.85E-05,-0.684960538,0.258,0.318,0.619098226,0
A230009B12Rik,0.190453204,-0.684716037,0.122,0.134,1,0
Nat9,0.014563175,-0.684564837,0.101,0.131,1,0.549815002
1700054A03Rik,0.060334435,-0.684547918,0.117,0.139,1,0
Lactb,5.31E-06,-0.684543666,0.277,0.342,0.115238576,0
Lingo2,3.47E-81,-0.684312586,0.989,0.994,7.54E-77,-0.560880636
Fstl5,4.68E-20,-0.684258517,0.675,0.741,1.02E-15,-0.695256823
AC163638.2,0.187279071,-0.683991118,0.061,0.074,1,0.631840323
Opcml,5.76E-168,-0.683604759,1,1,1.25E-163,0
Aph1b,0.002267177,-0.683453279,0.147,0.188,1,0
Trp53inp2,0.028307378,-0.683082366,0.155,0.182,1,-0.494390883
Arpin,0.016991844,-0.683079639,0.065,0.091,1,0
4933406B15Rik,0.267302362,-0.683049036,0.04,0.05,1,1.263467231
Bmp6,0.000438144,-0.682952664,0.069,0.036,1,-4.875853563
Lrif1,4.92E-09,-0.682352607,0.429,0.493,0.00010677,0.320763209
Eaf2,4.86E-06,-0.682327538,0.336,0.39,0.105599564,0.475822935
mt-Co3,0.002257904,-0.68195857,0.184,0.226,1,0.491264013
Mastl,0.013046609,-0.681729691,0.074,0.103,1,0.735245325
4930473A02Rik,0.000835978,-0.681682378,0.221,0.267,1,0
Arrdc1,0.077727375,-0.681476045,0.109,0.129,1,0
Wdr18,0.010923351,-0.681367741,0.191,0.221,1,0
Rorb,3.47E-06,-0.680746794,0.249,0.324,0.075274307,0
Gpr22,6.45E-09,-0.679927256,0.412,0.479,0.000140079,0
Ptpmt1,0.245634647,-0.679795646,0.059,0.07,1,0
Bod1,0.408358863,-0.679705407,0.05,0.057,1,0
Pdik1l,0.065218411,-0.679456837,0.084,0.105,1,0
Tsc22d4,7.95E-06,-0.679242623,0.179,0.25,0.172516688,0
Tmem165,8.48E-08,-0.678905282,0.355,0.428,0.001840977,0
Nfia,7.44E-66,-0.678801485,0.889,0.972,1.62E-61,0
Frmd4a,6.68E-93,-0.678685411,0.977,1,1.45E-88,0
Cbx5,1.61E-06,-0.678493175,0.326,0.391,0.034917762,0
Chchd4,0.019800351,-0.678041234,0.114,0.144,1,0.387076361
Fam216a,2.60E-06,-0.677568161,0.365,0.416,0.056520474,-0.421319071
Mycbp,1.15E-10,-0.677107151,0.42,0.508,2.49E-06,0
Nfatc3,3.79E-10,-0.677018826,0.4,0.481,8.23E-06,0
1-Sep,0.026791703,-0.676885445,0.097,0.124,1,0
Mvb12a,0.006147124,-0.676015141,0.221,0.253,1,0
Glt8d2,0.000563452,-0.675896928,0.092,0.138,1,0
Rpl31,0.254395266,-0.675802991,0.114,0.124,1,0
4930503L19Rik,0.013077939,-0.675802545,0.136,0.168,1,0
Prr16,1.14E-54,-0.675554113,0.878,0.955,2.48E-50,0
Coq5,2.64E-05,-0.674631775,0.305,0.357,0.573330259,0
A430090L17Rik,0.000660852,-0.674621243,0.264,0.306,1,-0.667063103
Vps72,0.0227203,-0.674556259,0.126,0.156,1,0.475976448
2810029C07Rik,0.289636903,-0.674434576,0.073,0.083,1,0
Grin1os,0.006235472,-0.674320445,0.254,0.28,1,0
Exosc7,4.47E-05,-0.674086649,0.372,0.405,0.970485875,0
Zfp322a,7.89E-06,-0.673800333,0.315,0.378,0.171219017,0
1110008P14Rik,0.001235326,-0.673746216,0.227,0.268,1,0
Cetn4,0.218307641,-0.673689249,0.092,0.105,1,0.616366789
Msantd3,0.005448117,-0.673685439,0.145,0.182,1,0
Ndufb9,8.11E-05,-0.673663883,0.285,0.335,1,0
Mettl26,0.023338353,-0.673619423,0.194,0.221,1,0.557536819
Oscp1,0.001621507,-0.673128551,0.173,0.219,1,0
Thap2,1.51E-06,-0.671934026,0.343,0.407,0.032786741,0.394013063
Luzp1,5.18E-33,-0.671286,0.743,0.827,1.12E-28,0
Ormdl2,9.47E-05,-0.671251322,0.232,0.291,1,0.333315567
Rtraf,0.013512461,-0.671097407,0.155,0.187,1,0
Zfyve19,0.019718489,-0.670953684,0.168,0.196,1,0.720946684
Idua,0.671701232,-0.670180541,0.056,0.059,1,0
Akt3,2.95E-79,-0.669671194,0.952,0.987,6.39E-75,0
Fbxo17,0.090530034,-0.669535085,0.068,0.086,1,0
Igip,0.017953359,-0.669250244,0.161,0.19,1,-0.340401176
Slc22a17,2.19E-11,-0.668878737,0.465,0.55,4.76E-07,0
Abhd17a,0.020946079,-0.668694482,0.228,0.25,1,-0.401415319
Rpl7l1,0.115287305,-0.668346426,0.145,0.163,1,0.402638593
Fastkd1,0.262865955,-0.667966374,0.118,0.128,1,0
Mrpl10,0.372915199,-0.667804651,0.103,0.11,1,0
Fam111a,0.460848838,-0.667418767,0.125,0.131,1,0
Prss36,0.016146757,-0.667158851,0.092,0.122,1,0.323728142
Tfeb,0.0123759,-0.665734528,0.08,0.111,1,-0.968399202
Cox6c,0.002617137,-0.665423499,0.215,0.255,1,0
Atcayos,0.179445667,-0.66521708,0.084,0.098,1,0
AA386476,0.301662556,-0.664655819,0.05,0.059,1,1.054566109
Adgrv1,0.326821721,-0.663359784,0.042,0.051,1,0
Spata33,0.117058178,-0.663276104,0.063,0.079,1,0.575271545
Dlk2,0.125114903,-0.663069712,0.089,0.106,1,0.438603031
Ptrh2,0.030983219,-0.662938395,0.109,0.136,1,0
AC135859.1,0.111858072,-0.662481991,0.068,0.085,1,0
Zfp605,0.078353151,-0.662366256,0.098,0.117,1,0.439863853
Lrrd1,0.178409501,-0.66215698,0.039,0.051,1,0.578773622
Mettl23,0.07759661,-0.662022989,0.069,0.088,1,-0.720522438
Rps26,0.072247591,-0.661521986,0.141,0.162,1,0.448551738
Uqcc2,0.117050089,-0.660706738,0.099,0.117,1,0.450572053
Eny2,1.17E-05,-0.660378284,0.336,0.39,0.253860346,-0.37194787
Rapgef4os1,1.16E-18,-0.658464005,0.611,0.703,2.52E-14,0
Lrrtm2,0.024356818,-0.658022315,0.123,0.151,1,0
Igfbp7,0.205273205,-0.657115299,0.077,0.09,1,0
Oprl1,0.133736158,-0.656808464,0.044,0.057,1,0
Tdrp,0.139174429,-0.656666287,0.047,0.061,1,-0.646003091
Xpa,0.00024352,-0.656502854,0.254,0.307,1,0
Trim26,0.126686822,-0.656201488,0.125,0.141,1,0.567253324
Mrpl15,0.031613114,-0.654724234,0.18,0.204,1,0
Cacna1f,0.897100382,-0.654534108,0.064,0.063,1,-0.460836417
4930415C11Rik,2.33E-16,-0.654439732,0.559,0.665,5.05E-12,0
Serpind1,0.182840391,-0.654199967,0.113,0.127,1,0
Rpl7,0.077646107,-0.654098506,0.051,0.069,1,0.596107935
C130060C02Rik,0.130382416,-0.653819301,0.093,0.109,1,0
Pigp,0.037321048,-0.653176696,0.128,0.155,1,0
Ddhd2,2.27E-23,-0.652874193,0.657,0.745,4.92E-19,0
Sh3glb2,1.45E-05,-0.652457933,0.327,0.385,0.315093129,-0.651641516
Glt8d1,3.92E-06,-0.652395786,0.412,0.452,0.085082152,0.689974673
2310043M15Rik,0.412365253,-0.652124442,0.053,0.059,1,0
Ppa1,0.000856857,-0.652082078,0.231,0.277,1,0
Dand5,0.009136966,-0.651645762,0.144,0.18,1,0.383487181
Snapc2,0.36636882,-0.65157069,0.088,0.096,1,-0.914742252
Osbpl3,6.61E-37,-0.651435239,0.711,0.83,1.44E-32,-0.911072919
Fam174a,0.058296765,-0.651156942,0.122,0.144,1,0
Dtd1,6.65E-19,-0.651014792,0.569,0.676,1.44E-14,0
Ppp1r21,1.48E-07,-0.650702024,0.378,0.445,0.003216024,0
Tyw5,0.069645285,-0.650646219,0.183,0.2,1,0
Thap12,0.046912922,-0.65059175,0.121,0.145,1,0
Riiad1,0.236396675,-0.650165623,0.047,0.057,1,0
Scfd2,1.74E-20,-0.650165602,0.62,0.713,3.78E-16,0
Zbtb41,0.04034682,-0.649925648,0.15,0.174,1,-0.390214793
Spock1,6.57E-52,-0.649874855,0.916,0.958,1.43E-47,-0.538604383
Rps15,0.033819256,-0.648674404,0.199,0.223,1,0
Dnah17,0.044215959,-0.648608466,0.074,0.096,1,0
Sap30l,0.164310005,-0.648295943,0.067,0.081,1,0
Elmod2,0.16538402,-0.647966322,0.098,0.113,1,0.396787739
Epm2aip1,0.321546476,-0.64762241,0.121,0.129,1,-0.585213054
Ifngr2,0.002002729,-0.647442357,0.185,0.229,1,0
Tmem167,3.94E-06,-0.646490456,0.408,0.453,0.08559614,0
Mpped1,9.79E-33,-0.646289584,0.752,0.83,2.13E-28,0
Gabra1,2.27E-24,-0.646098678,0.579,0.714,4.94E-20,-0.522186462
Pot1b,0.019415692,-0.646085749,0.088,0.117,1,0.950125568
Mtln,0.091012315,-0.646021384,0.098,0.117,1,0
Zfp462,3.38E-06,-0.645772971,0.272,0.346,0.073437651,0
Cadm1,5.10E-43,-0.645623663,0.859,0.936,1.11E-38,-0.906680431
9430015G10Rik,0.004691055,-0.645321293,0.171,0.21,1,0.369861665
Ptrhd1,0.296225877,-0.645093129,0.057,0.066,1,0.804794829
Bcar3,0.001519264,-0.645002499,0.159,0.108,1,-0.457200871
Tmem186,0.010216001,-0.644954414,0.142,0.175,1,0
Chchd10,0.299457624,-0.644538918,0.095,0.105,1,0
Tmem150a,0.224215322,-0.643846042,0.072,0.084,1,0
Sez6,2.34E-12,-0.643741589,0.502,0.582,5.07E-08,0
Pttg1,0.098295187,-0.643441628,0.085,0.104,1,0
Ubl5,0.054381689,-0.643021753,0.165,0.186,1,0
C1qtnf12,0.227881668,-0.642356483,0.074,0.086,1,0
Abcc10,0.017999344,-0.642265847,0.085,0.114,1,0
Ndufs4,5.51E-20,-0.642252658,0.654,0.721,1.20E-15,0
Slitrk2,0.076049705,-0.64214535,0.069,0.088,1,0
Dcp2,0.014993553,-0.641805534,0.126,0.158,1,0
Pml,0.112172193,-0.641650185,0.072,0.088,1,1.074598389
Cyb5d2,0.082824277,-0.641555475,0.079,0.099,1,0.591359723
Pqbp1,0.523535767,-0.641548536,0.057,0.062,1,0.548969653
Dnajb14,0.002530058,-0.641360341,0.278,0.31,1,0
Cops9,0.131832308,-0.641318714,0.048,0.062,1,0
Slc25a11,0.038769028,-0.641221908,0.07,0.093,1,0
Zfp260,8.65E-09,-0.641044505,0.397,0.475,0.000187674,0
Golph3l,0.032130477,-0.640466918,0.092,0.118,1,0.98349136
Foxred1,0.014474302,-0.639578119,0.122,0.154,1,-0.320463211
Cdk2ap1,0.15679138,-0.63946272,0.086,0.102,1,-0.351050344
Arhgap18,5.10E-11,-0.639220363,0.436,0.529,1.11E-06,-0.339439642
Pygo2,0.098920897,-0.638811286,0.099,0.119,1,0
Ntng1,1.41E-62,-0.638150108,0.922,0.986,3.06E-58,0
Cck,0.00504941,-0.637238817,0.175,0.214,1,0
Lix1,6.28E-07,-0.636988775,0.184,0.267,0.01363514,-1.022161591
Dnah5,0.011939071,-0.636212696,0.114,0.147,1,0.41104214
Fut8,1.04E-29,-0.636093129,0.744,0.813,2.26E-25,-0.419247032
Eif1,0.00010983,-0.63600053,0.37,0.405,1,0
Ino80b,0.010369779,-0.635931919,0.208,0.238,1,0.493694629
Zmym1,0.048478609,-0.63485268,0.092,0.115,1,0.613258402
Ppm1k,0.000103679,-0.63461474,0.203,0.263,1,-0.631036984
Cep112,1.14E-13,-0.634266768,0.419,0.546,2.48E-09,0
Ddx23,0.004296059,-0.633538411,0.285,0.316,1,0
Osbpl1a,2.76E-45,-0.633395156,0.83,0.887,5.99E-41,-0.709098879
Cox7a2l,0.100283652,-0.633291282,0.188,0.203,1,0
Wdr4,0.036700894,-0.633129979,0.152,0.177,1,0
Ntm,2.20E-186,-0.632644349,1,1,4.78E-182,0
Nelfcd,0.271012284,-0.632450798,0.044,0.053,1,0
Smc1b,0.044461018,-0.632381575,0.035,0.052,1,0.342535241
Atpif1,1.00E-10,-0.632158807,0.483,0.558,2.18E-06,0
Pim2,0.017236108,-0.631852258,0.169,0.199,1,-0.400840496
Nt5c3,0.006893367,-0.631610297,0.142,0.178,1,0
Tigd2,7.80E-05,-0.630884217,0.279,0.334,1,0
Tmx4,2.09E-20,-0.630609012,0.597,0.682,4.54E-16,0
Slc16a10,6.23E-07,-0.630493309,0.309,0.387,0.013521509,0.349660401
Tspyl4,0.001662654,-0.630447656,0.289,0.325,1,0
Dnajb9,0.293270327,-0.63033952,0.064,0.074,1,0
Pde4b,8.50E-77,-0.630315981,0.955,0.991,1.84E-72,-0.940435148
Mthfd2l,0.005979682,-0.630210336,0.181,0.218,1,0
Spata32,0.357075577,-0.630034361,0.054,0.062,1,-1.144516244
Ptp4a3,0.03345026,-0.629740678,0.151,0.178,1,0
Wbp1,0.11113802,-0.629642108,0.078,0.095,1,0
Det1,0.00512093,-0.629269277,0.098,0.136,1,0.376399679
Lrch1,2.03E-18,-0.629219655,0.573,0.681,4.40E-14,-0.389749251
Stxbp4,7.70E-09,-0.629138447,0.39,0.467,0.0001671,0
Mettl18,0.078216863,-0.629049373,0.037,0.052,1,0.508931915
Tuba1b,0.038497888,-0.628946958,0.143,0.168,1,0
Agbl4,3.10E-103,-0.628923908,0.993,0.998,6.74E-99,-0.329620055
Casp7,0.467486733,-0.628778264,0.047,0.053,1,0.964767309
Phyh,0.487632841,-0.628777573,0.13,0.134,1,0
Ctxn1,0.012926325,-0.628167067,0.111,0.142,1,0
Rbbp6,2.18E-16,-0.627275491,0.608,0.68,4.73E-12,0
Slc7a6os,0.000204059,-0.627077547,0.403,0.428,1,0
Smyd2,0.000378018,-0.626852852,0.229,0.279,1,-0.383659462
Peli3,0.004209499,-0.626707059,0.219,0.257,1,0
Ccdc106,0.023908466,-0.626270257,0.115,0.144,1,0
Pnkd,1.07E-12,-0.626205396,0.504,0.596,2.33E-08,0
2310061I04Rik,0.017425483,-0.626081052,0.132,0.163,1,0
Timp4,0.006327753,-0.625640678,0.282,0.311,1,0.576658796
Rmnd1,3.01E-10,-0.625525624,0.455,0.533,6.53E-06,0
Tbr1,0.033220189,-0.6250987,0.048,0.069,1,0
Mettl7a1,4.26E-06,-0.625024629,0.288,0.361,0.092574566,0
Zfp239,0.002749416,-0.624583246,0.164,0.206,1,0
Ipp,0.34730731,-0.624191598,0.08,0.089,1,0.362248045
3110056K07Rik,0.007573468,-0.623774866,0.308,0.325,1,0
Znrd2,0.357334087,-0.623578357,0.055,0.063,1,0
Erlin2,0.069331296,-0.622999508,0.104,0.126,1,0
Rps14,0.143193449,-0.622644128,0.22,0.229,1,0
Lin28b,2.98E-11,-0.622474622,0.434,0.521,6.46E-07,-0.422765206
Dmap1,0.493146074,-0.622387766,0.077,0.083,1,0.389433219
Ubxn2b,2.99E-07,-0.622368937,0.428,0.482,0.006488303,-0.340026636
Ppp5c,0.001021404,-0.622151502,0.219,0.265,1,0
Mrm3,0.07683159,-0.62209582,0.14,0.159,1,0
Usp30,0.003243626,-0.621874136,0.231,0.269,1,0
Orc3,2.92E-06,-0.621622827,0.381,0.435,0.063316306,0
Ntan1,4.99E-05,-0.621239291,0.39,0.426,1,0
Fmnl1,0.032332182,-0.621129746,0.128,0.156,1,-0.461607475
Dock10,0.422493327,-0.620814396,0.065,0.072,1,-1.195261495
Sptssa,0.182553695,-0.62028263,0.092,0.106,1,0
Cog8,0.013118015,-0.620245514,0.203,0.233,1,0
Zfp942,9.32E-05,-0.620185997,0.323,0.364,1,0
Ndufb6,0.243855304,-0.620073995,0.05,0.061,1,0
Timm23,6.17E-09,-0.618858658,0.436,0.505,0.000133914,0
Etfa,3.90E-10,-0.618733836,0.436,0.518,8.46E-06,0
Adprhl2,0.033629019,-0.618677536,0.154,0.18,1,0
Trappc2l,0.271338619,-0.618438679,0.057,0.067,1,0
B9d1,0.347333368,-0.618223824,0.109,0.117,1,0
Snhg10,0.218815259,-0.618096434,0.039,0.05,1,0
Rufy1,9.00E-07,-0.61770995,0.419,0.472,0.019527431,0.439517351
3010001F23Rik,0.00608245,-0.617104723,0.165,0.205,1,0.395396526
Dnajc21,4.35E-05,-0.616993393,0.332,0.383,0.943403552,0
Rcbtb2,0.027044401,-0.616507462,0.12,0.148,1,0
4930444F02Rik,0.132666618,-0.61627733,0.053,0.067,1,0
Zfp809,0.054291921,-0.616020965,0.209,0.228,1,0
Coro1b,0.159486011,-0.615620497,0.057,0.071,1,0.324118686
4930589P08Rik,0.367247886,-0.615614883,0.074,0.082,1,-1.145722399
Malat1,7.79E-126,-0.615301646,1,1,1.69E-121,0
Vgll3,0.488958927,-0.615257683,0.054,0.059,1,-0.530428688
Rps23,0.074981457,-0.61503457,0.077,0.097,1,0
Hkdc1,0.193244077,-0.614840506,0.079,0.093,1,0
Mir124-2hg,5.70E-15,-0.614747249,0.57,0.641,1.24E-10,-0.455114987
A630072M18Rik,0.030849927,-0.614725963,0.072,0.096,1,0
Nudt6,0.108551667,-0.614507432,0.05,0.066,1,-0.766233885
Zfp84,0.398005242,-0.614047394,0.07,0.078,1,0
2810021J22Rik,0.094310376,-0.614045913,0.048,0.064,1,0
Rab11fip2,5.86E-23,-0.613646868,0.677,0.778,1.27E-18,0
Ubr7,0.108161364,-0.613504438,0.175,0.191,1,0
Ykt6,0.13667418,-0.613309787,0.164,0.178,1,0
Rnf219,0.304967383,-0.613053714,0.135,0.144,1,0
0610012G03Rik,0.217141478,-0.612873983,0.106,0.119,1,0
Prkar2b,1.28E-07,-0.612837801,0.375,0.453,0.002773334,0
Zfp40,0.007885464,-0.61257103,0.286,0.309,1,0
Sdr42e1,0.762139461,-0.612558543,0.059,0.061,1,0.829419229
4930588A03Rik,0.320418316,-0.612229,0.056,0.065,1,0
Rsph14,5.35E-06,-0.611965107,0.285,0.354,0.116115009,0
Cdkl4,0.000567671,-0.611813407,0.249,0.299,1,0.763388763
Ccdc85a,2.35E-45,-0.611721851,0.837,0.931,5.10E-41,0
Atp5g3,0.381698224,-0.611701466,0.111,0.117,1,0
Smpd1,0.556951905,-0.611479496,0.075,0.079,1,0
Ankra2,0.000473977,-0.611454591,0.334,0.371,1,0
Ttc23,0.251801709,-0.611079664,0.069,0.081,1,0
Rnpepl1,0.055840962,-0.610839753,0.166,0.188,1,0
Zfp599,0.166599059,-0.610730846,0.049,0.062,1,0
Kcna2,8.66E-06,-0.610539944,0.325,0.385,0.187994584,-0.480056669
Rnf146,0.004563771,-0.610469015,0.276,0.307,1,0
Pcsk2,8.08E-85,-0.610370692,0.987,0.999,1.75E-80,-0.398072014
Tle2,0.001150716,-0.610296995,0.21,0.257,1,0
Rnasek,0.51109359,-0.610003522,0.073,0.079,1,0
Tmem130,0.006033771,-0.609588695,0.288,0.316,1,0
Tbc1d2b,0.005615481,-0.60956591,0.19,0.229,1,-0.573776347
Zfp612,1.24E-05,-0.609506266,0.371,0.417,0.268512739,0
Mpc2,8.36E-07,-0.609362626,0.408,0.464,0.01813647,0
Cdk5,0.001480899,-0.609356677,0.299,0.337,1,0
Rab5if,0.281421271,-0.609189503,0.169,0.175,1,0
9330198N18Rik,0.083832654,-0.608915797,0.04,0.056,1,0.444385213
Zfp955b,1.15E-05,-0.608772063,0.303,0.366,0.248931526,0
Rad21,0.087294409,-0.608640807,0.152,0.171,1,0
Add3,1.16E-09,-0.608416326,0.442,0.523,2.52E-05,-0.732467615
Dnajc30,0.064507901,-0.608299511,0.056,0.075,1,0
Mycbpap,0.938405955,-0.60809656,0.058,0.057,1,0
Ethe1,0.183988901,-0.607625156,0.053,0.065,1,0
Etfdh,0.002651235,-0.607520757,0.249,0.286,1,0
Cacnb3,0.273898154,-0.606308637,0.145,0.154,1,0
Tex22,5.11E-06,-0.605890248,0.283,0.361,0.110891316,-0.69732332
B230369F24Rik,0.275852484,-0.605703993,0.077,0.088,1,0.44191208
Tmem106b,0.024040567,-0.605523559,0.203,0.23,1,0
Ctbp2,0.002622135,-0.605275712,0.302,0.332,1,0
Gmpr2,0.085846673,-0.604673288,0.113,0.133,1,0
9330151L19Rik,0.844780613,-0.60463867,0.057,0.057,1,0
Cnpy3,0.043765394,-0.604373196,0.143,0.168,1,0.323668566
Gal3st1,0.285213109,-0.604341888,0.046,0.055,1,0
Glra2,0.043519832,-0.604171915,0.187,0.209,1,0.807877101
Lpcat4,0.031845695,-0.604165749,0.208,0.231,1,-0.395690463
Cep83os,0.002571714,-0.603915029,0.193,0.235,1,0
Scrn3,0.125325415,-0.603841553,0.126,0.143,1,0.475974382
Psmd7,3.16E-09,-0.603810882,0.535,0.593,6.85E-05,0
Pradc1,0.119145871,-0.60366839,0.152,0.168,1,0
Arl6,0.068005847,-0.603627706,0.101,0.122,1,0
Nup50,0.00431553,-0.603591261,0.208,0.244,1,0
Tmem242,0.047753371,-0.603259516,0.102,0.126,1,0
Dcbld1,0.000140828,-0.603193265,0.212,0.269,1,0
Dph7,0.032219987,-0.603186756,0.213,0.238,1,0.359490651
Tvp23a,0.00255778,-0.602649425,0.276,0.309,1,0.321335232
Fktn,7.49E-05,-0.602253242,0.369,0.409,1,0
Slc35b4,0.183016044,-0.601434761,0.053,0.065,1,0.467625845
Spata24,0.482928985,-0.601421181,0.054,0.059,1,0
Katnal2,0.017367778,-0.601409871,0.197,0.227,1,0.431155599
Wdr34,0.027657851,-0.601067312,0.225,0.246,1,0.464261197
Sucla2,1.79E-06,-0.599954117,0.43,0.473,0.038891347,0
Nsun7,4.91E-05,-0.599494245,0.407,0.443,1,0
Tmem230,0.206418469,-0.599225947,0.075,0.088,1,0
Map2k4,1.66E-38,-0.599106296,0.864,0.905,3.59E-34,0
Nabp2,0.01592026,-0.599083864,0.134,0.167,1,0
Kcnj9,1.53E-05,-0.598894767,0.297,0.361,0.331559299,0
Elavl2,1.85E-32,-0.598719918,0.836,0.89,4.02E-28,-0.374924367
Nup85,0.067581244,-0.59861215,0.098,0.12,1,0
Tmed4,0.491937385,-0.598530378,0.048,0.054,1,0
Siae,0.237821574,-0.598253205,0.141,0.151,1,0
Ebf4,0.008789443,-0.598082371,0.189,0.222,1,0
Ctnna1,0.000141018,-0.597661207,0.254,0.308,1,0
Cdc40,9.11E-16,-0.597343527,0.644,0.693,1.98E-11,0
D930015M05Rik,0.138456377,-0.597314959,0.068,0.083,1,0
Gnai1,2.05E-19,-0.597273747,0.649,0.734,4.44E-15,-0.326059397
2810004N23Rik,8.45E-05,-0.597115144,0.387,0.421,1,0.342637353
Zfp668,0.023181196,-0.597104174,0.128,0.159,1,0
Pard6g,0.031304291,-0.596992617,0.116,0.143,1,0
Gin1,0.08711182,-0.596809275,0.234,0.245,1,0.467220843
Blcap,0.191312238,-0.596441078,0.16,0.17,1,0
Ola1,2.34E-17,-0.596293005,0.64,0.696,5.08E-13,0
Npas2,7.95E-42,-0.59629162,0.831,0.922,1.73E-37,-0.88176441
Pdcd5,0.14177514,-0.596273285,0.121,0.137,1,0
Fkbp1b,0.906221959,-0.596162469,0.06,0.06,1,0
Atp5e,0.617405737,-0.595768825,0.059,0.063,1,0
Pdgfa,0.009820555,-0.595694155,0.153,0.188,1,0
Stoml1,0.017694318,-0.595310472,0.203,0.232,1,0
Eif4ebp2,0.017929695,-0.594582703,0.177,0.208,1,0
Rhbdl3,4.87E-19,-0.594286587,0.574,0.699,1.06E-14,0.432783834
Ccdc15,0.276380917,-0.594156116,0.06,0.071,1,0
Pcdh17,5.29E-29,-0.593983475,0.789,0.852,1.15E-24,-0.517013564
Rpl8,0.157289399,-0.593697921,0.127,0.142,1,0
Pdk1,1.06E-09,-0.593664817,0.421,0.505,2.29E-05,0
Dhcr24,0.117041484,-0.593013134,0.139,0.156,1,-0.350450261
Zfp128,0.288586804,-0.592812824,0.06,0.071,1,1.173948516
Glrx2,0.000163845,-0.5927651,0.246,0.304,1,-0.465003363
Lnpk,7.03E-09,-0.592609273,0.571,0.595,0.00015253,0
Srprb,0.2614655,-0.592270177,0.074,0.085,1,0
Mtx2,3.20E-06,-0.591702009,0.447,0.478,0.069510329,0
Tmem266,4.70E-05,-0.591177166,0.247,0.314,1,0
Dele1,0.202441591,-0.59107448,0.16,0.17,1,0
Dhx30,3.42E-18,-0.590635197,0.665,0.744,7.43E-14,0.350303506
Jph1,1.67E-26,-0.590579457,0.76,0.817,3.62E-22,0
Slit1,0.095575596,-0.590333824,0.114,0.134,1,0.406809533
Nsdhl,0.036031847,-0.589574658,0.159,0.184,1,-0.658380008
Mrps36,0.193139337,-0.589414932,0.139,0.151,1,0
Tubb5,0.226312302,-0.588626947,0.126,0.139,1,0
Arl6ip4,0.117627302,-0.588620268,0.253,0.257,1,0
Stk3,1.47E-11,-0.588223032,0.537,0.605,3.20E-07,0
Slc25a23,9.21E-18,-0.588031372,0.68,0.738,2.00E-13,0
Hhat,0.022903511,-0.587707977,0.086,0.114,1,0.42346604
Tenm2,2.82E-81,-0.586588848,1,0.999,6.13E-77,0
Ndufs7,0.47385634,-0.586501696,0.133,0.137,1,0.390554534
Rpl27a,0.010370403,-0.586260656,0.287,0.309,1,0
Star,0.506633131,-0.586000867,0.092,0.097,1,0.657095177
Angptl1,0.053207474,-0.585894709,0.086,0.108,1,0
Ikbkg,0.023925395,-0.585849058,0.115,0.144,1,0
Mmrn2,0.501631635,-0.58543266,0.05,0.056,1,0.39110824
Zfp597,0.053700192,-0.585246867,0.113,0.136,1,0
