812,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cSCI
Tmprss4,6.99E-09,-2.039422449,0.025,0.083,0.000151783,0
C730002L08Rik,7.49E-43,-2.036454636,0.165,0.414,1.63E-38,-1.318057972
Macrod2os2,2.56E-18,-2.030483442,0.079,0.209,5.57E-14,0
4930533B01Rik,6.53E-21,-2.01795925,0.114,0.262,1.42E-16,-0.329802649
Krt20,1.20E-10,-2.016663461,0.034,0.106,2.61E-06,-0.35374959
Cr2,9.42E-07,-2.015785587,0.025,0.071,0.020437951,-0.541456788
4930556N13Rik,1.76E-34,-2.013311504,0.139,0.351,3.81E-30,0
Dtnbos,3.14E-61,-2.004806456,0.189,0.51,6.81E-57,0
Camk1g,8.89E-23,-1.998552268,0.074,0.228,1.93E-18,-0.874502798
Lrrn3,1.77E-35,-1.996472936,0.105,0.322,3.84E-31,0
B3galt2,7.34E-40,-1.996298247,0.137,0.378,1.59E-35,-0.665215145
9630028H03Rik,9.10E-197,-1.988418101,0.619,0.943,1.98E-192,-0.541801816
4933411O13Rik,5.71E-28,-1.980886516,0.113,0.297,1.24E-23,-0.533468715
Pla2g4e,3.77E-38,-1.976015832,0.113,0.345,8.18E-34,-1.013038417
Taf7l,1.85E-08,-1.96934279,0.041,0.105,0.000400701,-0.416376485
BC048559,1.40E-07,-1.967346651,0.028,0.081,0.003031115,0.466091476
3200001D21Rik,6.49E-16,-1.961244621,0.07,0.186,1.41E-11,0
S1pr3,7.32E-05,-1.959176614,0.021,0.054,1,0
Shisa6,2.91E-26,-1.958964143,0.126,0.304,6.31E-22,-0.49022441
1700019D03Rik,7.17E-72,-1.958364363,0.258,0.593,1.56E-67,-0.527126497
Otx1,0.000104672,-1.953214871,0.023,0.057,1,-0.519153334
Ggact,7.66E-98,-1.947861534,0.39,0.735,1.66E-93,0
4930452B06Rik,1.30E-27,-1.942683221,0.097,0.278,2.83E-23,-0.968834857
2810454H06Rik,0.000153753,-1.933402777,0.027,0.06,1,0.742807047
Prkd1,4.94E-17,-1.9320446,0.091,0.219,1.07E-12,-1.237094977
Mgat4c,1.10E-192,-1.927705499,0.734,0.954,2.40E-188,-1.375184363
Slc1a6,1.31E-06,-1.923926922,0.031,0.08,0.028506272,0
Pde6a,1.45E-18,-1.913734779,0.084,0.219,3.15E-14,0.663459
9130015G15Rik,6.32E-17,-1.909396563,0.061,0.18,1.37E-12,0
Wnt7b,5.40E-06,-1.907993426,0.019,0.058,0.117208208,0.832346165
A430106G13Rik,9.35E-10,-1.90797172,0.03,0.097,2.03E-05,-0.991423918
Nckap5los,5.28E-06,-1.907728224,0.03,0.074,0.114544097,0.424911642
Dipk1b,7.07E-70,-1.906640103,0.234,0.576,1.53E-65,0
L3mbtl4,2.73E-69,-1.902389454,0.406,0.666,5.93E-65,-0.8812478
AC171003.1,1.27E-22,-1.90093851,0.113,0.274,2.77E-18,1.271512528
2810405F17Rik,1.58E-07,-1.90062123,0.039,0.096,0.003431737,0.622427188
Ccdc34os,4.63E-05,-1.898332605,0.027,0.064,1,0.580590186
Ccdc160,7.14E-08,-1.897799113,0.026,0.079,0.001550597,0
Nudt19,1.88E-08,-1.884515405,0.048,0.114,0.000408834,0
Lage3,3.43E-25,-1.884113199,0.113,0.288,7.45E-21,0.501332358
E330018M18Rik,9.96E-12,-1.88345214,0.039,0.121,2.16E-07,0.649753753
A230004M16Rik,1.95E-51,-1.881174312,0.237,0.511,4.24E-47,-0.474585481
Cyp11a1,5.25E-21,-1.874130679,0.077,0.223,1.14E-16,-0.91791411
4930545L23Rik,9.42E-101,-1.873914739,0.419,0.758,2.04E-96,0
Pip5k1bos,2.07E-09,-1.870936951,0.034,0.1,4.48E-05,-0.591786539
Pcsk2os2,1.69E-40,-1.870181411,0.187,0.428,3.66E-36,-1.230402335
Lrp8os3,5.15E-05,-1.868885754,0.019,0.052,1,0
4921511I17Rik,9.52E-31,-1.868211167,0.153,0.351,2.07E-26,0
4930401C15Rik,1.79E-09,-1.865770639,0.019,0.077,3.90E-05,-1.968328462
Plvap,1.69E-07,-1.86260442,0.02,0.069,0.003673871,0
Ackr4,4.67E-25,-1.858187522,0.128,0.302,1.01E-20,0
Map2k6,1.76E-58,-1.857788526,0.161,0.48,3.81E-54,0.573941582
9630013A20Rik,3.03E-20,-1.857688497,0.111,0.259,6.59E-16,-0.551840232
Oma1,5.01E-37,-1.852548968,0.156,0.384,1.09E-32,-0.981091891
Lsm3,5.46E-10,-1.848097631,0.045,0.119,1.19E-05,0.480274792
2210406O10Rik,5.63E-15,-1.844864749,0.07,0.181,1.22E-10,0
Tmem218,1.98E-18,-1.842104429,0.105,0.243,4.29E-14,0.328883515
Lratd1,6.10E-07,-1.841091643,0.028,0.077,0.013235421,-0.403231764
4833422C13Rik,4.86E-77,-1.840616072,0.274,0.626,1.05E-72,-0.320048518
Bmyc,2.97E-10,-1.839789631,0.05,0.128,6.45E-06,0.536832987
Impa2,4.38E-21,-1.826164575,0.085,0.233,9.51E-17,-0.858603198
Grip1os2,7.04E-26,-1.826119721,0.109,0.288,1.53E-21,-0.898781647
Enpp1,1.10E-05,-1.825978595,0.034,0.077,0.238903533,0
