,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Marchf1,3.60879553543733e-80,2.317045152,0.732,0.414,8.90325946547745e-76
Marchf2,0.01472646,0.233060373,0.313,0.447,1
Marc2,0.162641074,0.571309135,0.062,0.085,1
Marchf3,0.000253588,-0.067173655,0.206,0.328,1
Marchf4,0.001196935,0.265636755,0.208,0.323,1
Marchf5,0.679325697,0.649006916,0.238,0.254,1
Marchf6,0.014068868,0.196488275,0.424,0.6,1
Marchf7,0.098064056,0.259575137,0.32,0.423,1
Marchf8,0.057658386,0.321995288,0.124,0.174,1
Marchf9,0.203992036,1.737416315,0.022,0.014,1
Marchf10,0.005309233,0.125308941,0.119,0.187,1
Marchf11,3.19647413754589e-14,0.645619172,0.794,0.861,7.88602134473948e-10
Septin1,0.585134629,0.757341138,0.104,0.121,1
Septin2,0.011603759,0.363576503,0.055,0.096,1
Septin3,2.06159887888562e-14,-0.453488165,0.298,0.576,5.08617059409871e-10
Septin4,0.000184076,-0.04642714,0.536,0.752,1
Septin5,0.019422294,0.29794398,0.03,0.059,1
Septin6,2.60283772008914e-08,-0.297935312,0.31,0.514,0.000642146
Septin7,7.55731982872085e-15,-0.453101184,0.444,0.747,1.86446637494372e-10
Septin8,6.61452427547207e-13,-0.312863874,0.266,0.52,1.63186928400172e-08
Septin9,0.001969375,2.109009249,0.035,0.014,1
Septin10,0.662106828,0.651382979,0.104,0.119,1
Septin11,1.54735640401396e-17,-0.48764156,0.553,0.843,3.81748298434283e-13
0610005C13Rik,0.827855531,1.373941862,0.022,0.021,1
0610009B22Rik,0.246623219,1.026190678,0.045,0.034,1
0610009E02Rik,0.095498095,0.333878141,0.072,0.103,1
0610009L18Rik,0.839971342,1.25530631,0.015,0.016,1
0610010F05Rik,0.004758925,-0.012371319,0.464,0.665,1
0610010K14Rik,0.959433485,0.885447955,0.015,0.015,1
0610012G03Rik,0.581847306,1.197388967,0.107,0.104,1
0610030E20Rik,0.168664383,0.381519098,0.268,0.344,1
0610038B21Rik,0.673842616,0.461219728,0.01,0.012,1
0610040B10Rik,0.630827446,1.006937455,0.057,0.053,1
0610040F04Rik,1.81281663989134e-06,-0.194188554,0.107,0.223,0.044723999
0610040J01Rik,0.335429818,1.341916186,0.097,0.087,1
0610043K17Rik,4.04417680055902e-05,0.138125327,0.325,0.496,0.997738858
0710001A04Rik,0.334528465,0.060119191,0.01,0.016,1
1110002J07Rik,0.853383216,1.013303158,0.04,0.043,1
1110002L01Rik,0.723166313,0.715979123,0.139,0.158,1
1110004F10Rik,0.478817226,0.724718781,0.253,0.31,1
1110008P14Rik,0.252943267,0.595150194,0.233,0.302,1
1110013H19Rik,0.127215354,0.244024792,0.002,0.01,1
1110017D15Rik,0.076109397,0.361688146,0.099,0.138,1
1110018N20Rik,0.234379027,0.525725625,0.027,0.04,1
1110019D14Rik,0.042669191,0.416933307,0.231,0.313,1
1110020A21Rik,0.616633766,1.082078764,0.03,0.035,1
1110032A03Rik,0.18914051,0.447808021,0.181,0.234,1
1110032F04Rik,0.006224963,-0.652688349,0.012,0.04,1
1110035H17Rik,0.0001161,-0.967173246,0.02,0.071,1
1110038B12Rik,0.264592963,0.594090674,0.017,0.027,1
1110038F14Rik,0.111167718,0.465945792,0.196,0.261,1
1110046J04Rik,0.683247173,0.562452347,0.263,0.318,1
1110051M20Rik,0.028155163,0.008355828,0.672,0.844,1
1110059E24Rik,0.75848278,0.632790549,0.196,0.21,1
1110059G10Rik,0.206863156,0.346468426,0.037,0.053,1
1110065P20Rik,0.056105198,0.227014676,0.032,0.056,1
1190005I06Rik,0.020586204,0.466346053,0.06,0.099,1
1190007I07Rik,0.202838341,0.642191482,0.032,0.047,1
1300002E11Rik,0.453404101,0.473245562,0.035,0.044,1
1300017J02Rik,0.259226333,0.569583854,0.079,0.101,1
1500002C15Rik,0.714535832,0.949283942,0.01,0.008,1
1500004A13Rik,2.55596117377861e-07,0.540788254,0.732,0.808,0.006305812
1500009C09Rik,0.021865404,-1.44161417,0.007,0.026,1
1500009L16Rik,1.20613846504349e-06,-0.729153162,0.089,0.196,0.029756642
