,RNA.0,RNA.1,RNA.2,RNA.3,RNA.4,RNA.5,RNA.6,RNA.7
5530401A14Rik,0.049875895,0.027197674,0.119439189,0.01317721,0.241816751,0.076243875,0.053182859,0.233210807
Gm31522,0.012733174,0.006808449,0.031434745,0.030462594,0.058201748,0.061061001,0.007848921,0.041748895
Gm11419,0.001917701,0,0.009026591,0.000744182,0.003670447,0.003443378,0,0
Gm17268,0.011365018,0.017073705,0.268873339,0.016246596,0.152066858,0.02378894,0.035600495,0.523601868
Ccl2,0.002680181,0,0.033911377,0.004582273,0.022546612,0.006694144,0.02092137,0.048515686
Ccl7,0.004439053,0.000408149,0.013817294,0.002873878,0.007902469,0,0,0.04789363
Ccl11,0,0,0.024856258,0,0.000912285,0,0.007223445,0.003845101
Ccl12,0.000922817,0.000413966,0,0,0,0,0,0.004300038
Ccl1,0,0,0,0,0,0.003857615,0,0
Tmem132e,0,0.000423964,0.011847794,0.001005046,0,0.002468374,0,0.011309057
Cct6b,0.006153071,0.00563922,0.010263312,0.007692266,0.019068223,0.013535638,0.040134489,0.020048125
Zfp830,0.026170594,0.031996433,0.031480975,0.030099503,0.035298227,0.053511722,0.035126476,0.040932026
Gm11423,0.00362212,0.002435482,0.007028136,0.006310411,0.001292944,0.017917943,0.023695324,0.009342713
Lig3,0.1857319,0.206932256,0.175726626,0.171820228,0.147370241,0.206858852,0.274224111,0.179054203
Rffl,0.317541986,0.311194918,0.480233201,0.336747262,0.310369117,0.450141709,0.613244173,0.396610495
Rad51d,0.086585993,0.065424231,0.095901476,0.058590365,0.055779148,0.072821553,0.090290419,0.103022676
Fndc8,0.044225339,0.042314357,0.026373665,0.014969961,0.031607183,0.044043763,0.023513056,0.029864863
Nle1,0.109354295,0.087074572,0.108522524,0.090406114,0.073656039,0.103352841,0.107193655,0.080874325
Unc45b,0.001193028,0,0.001265473,0.002304592,0.005102331,0.008523707,0.002052362,0.001790372
Unc45bos,0,0,0.001501212,0,0.001672823,0,0,0.002710298
Slfn5os,0,0.002172982,0,0.000705808,0,0,0.002767477,0
Slfn5,0.012406847,0.013572645,0.016841555,0.010492071,0.018003563,0.008065583,0.224934072,0.011451073
Slfn9,0.002255411,0.001347639,0.003533331,0,0.016101067,0.007551547,0,0.037944907
Slfn8,0.006203234,0.01975645,0.026836515,0.011404541,0.034509646,0.014673419,0.017521025,0.111640981
Slfn2,0,0.001860814,0.00740533,0.000753906,0.011554144,0.007876472,0.001507278,0.010993756
Gm20234,0.006745407,0.023852748,0.014363147,0.011207793,0.014584535,0.03145975,0.048357556,0.015085003
Slfn3,0,0.001050929,0.000733104,0.001834713,0.005273078,0,0.029679812,0.008918474
AI662270,0.000591246,0.000470199,0,0,0.000750796,0.001338961,0,0.002081114
Slfn14,0.000929508,0.001751897,0.000394865,0,0,0,0,0
AA465934,0.015419881,0.018854567,0.016190998,0.008434502,0.018577922,0.008893118,0.006189585,0.007556186
Pex12,0.066678838,0.05336305,0.07092823,0.058297387,0.056600479,0.125978011,0.239953347,0.059310518
Ap2b1,1.313479486,1.735707135,1.801002532,2.266686584,2.035404102,1.044220926,1.577465482,1.550475344
Rasl10b,0.073960696,0.050123562,0.081625685,0.067422677,0.05828351,0.103486631,0.061172379,0.056502067
Gas2l2,0.002228677,0.003102273,0.001137911,0.000677794,0.000869326,0,0.003851961,0.006784113
1700020L24Rik,0.004084972,0.000774793,0,0.001438091,0.003449808,0,0,0
Mmp28,0.008150464,0.054742794,0.066938027,0.061579067,0.208159556,0.031151269,0.024173526,0.076740967
Taf15,1.989785555,2.912575257,1.946668801,2.513718185,2.518774113,1.987136151,2.030828958,2.364407476
Heatr9,0.010352772,0.016569173,0.002707819,0.007509856,0.014747261,0.003862003,0.004054649,0.013355546
Ccl5,0.006921176,0.008154405,0.001500794,0.002545229,0.004630064,0.007779734,0.009560564,0.010027537
Ccl9,0,0.002475796,0,0.000871631,0.005562688,0,0,0.002081114
E230016K23Rik,0.019077176,0.037440963,0.019876534,0.02177364,0.019260589,0.04767437,0.118140597,0.017372549
Ccl4,0.000651491,0.002320951,0.002531838,0,0.003107299,0.003195194,0.003541994,0.00217167
Wfdc18,0,0,0.003081527,0,0.001174428,0,0,0.023164825
Heatr6,0.387127277,0.383757802,0.440203826,0.33940438,0.296074161,0.283414566,0.378473298,0.388084559
Gm12576,0.197777811,0.139771187,0.084407495,0.097025652,0.076730248,0.103095551,0.082711414,0.155104577
Hnf1b,0.012717714,0.008492785,0.00753529,0.004030331,0.009739854,0.009036374,0,0.012536681
Ddx52,0.129239304,0.114706761,0.122788444,0.096955555,0.121429138,0.19246249,0.530070085,0.1022857
Synrg,0.874508586,0.909210781,0.855737499,0.847972684,0.979470486,0.831610824,1.185673477,0.824667265
Dusp14,0.207810853,0.217676353,0.14846453,0.184397314,0.219087025,0.142677227,0.188406625,0.118962142
Tada2a,0.886213064,0.823408585,0.599163951,0.717842075,0.622285546,0.705720519,0.685161713,0.798066683
Acaca,1.977077603,2.070694797,1.85162013,2.237805992,1.922222019,1.666132917,2.499074169,1.567146942
Gm11437,0.114260933,0.154996235,0.109288085,0.134711761,0.150114595,0.133290294,0.175148706,0.076744192
Aatf,0.754616196,0.796573568,0.713143734,0.872012902,0.94489043,0.795472007,0.702814508,0.646893908
Lhx1,0,0,0,0,0.005176369,0.001161794,0,0
Lhx1os,0.000958443,0.003075124,0,0.003935735,0.000771712,0,0,0
Mrm1,0.045632062,0.063735597,0.04041827,0.096817601,0.083336069,0.075125608,0.098116807,0.045062509
Dhrs11,0.02991185,0.037844602,0.025104838,0.034811957,0.011647031,0.014493491,0.025474457,0.027768231
4930502E09Rik,0.004877303,0.003375279,0.002621549,0.006549655,0.00401192,0.004755257,0.001619061,0
Ggnbp2,1.068265384,1.175341892,1.297106968,1.444926437,1.250331189,0.962580975,1.122123581,1.502667441
Pigw,0.008083643,0.005110657,0.000416888,0.012384321,0.010643988,0.012664362,0.012296606,0.005029435
Myo19,0.130376616,0.153987743,0.093840914,0.145089039,0.090489384,0.133076736,0.117957324,0.085069689
Znhit3,0.026383444,0.026568975,0.047635816,0.028807299,0.02123608,0.030620813,0.045585769,0.035550501
Car4,0.002740635,0.000479549,0.0088814,0.002744903,0.033472505,0.02657651,0,0.005633371
Usp32,2.126949518,2.333181423,2.350983505,2.530093439,2.218651431,1.909002489,2.700001523,2.094731713
1700125H20Rik,0.010062538,0.016771607,0.00530851,0.011284179,0.006493426,0.005650995,0.006303402,0.01513068
Appbp2,0.680790063,0.60172164,0.617409075,0.726304195,0.620420549,0.923819926,0.770067341,0.619179303
Appbp2os,0.035104882,0.035267086,0.027652979,0.047681046,0.028556776,0.035412789,0.02692925,0.032644655
Ppm1d,0.236737441,0.198156079,0.174997633,0.172091994,0.158603825,0.201296898,0.273197378,0.147327563
Bcas3,3.036430675,2.708768138,2.454100266,2.123653501,2.186804426,3.104327462,3.316586775,2.486323666
Bcas3os1,0.183515893,0.156241234,0.116000279,0.136939303,0.095197978,0.209679499,0.151494251,0.072557272
Bcas3os2,0.009666432,0.004704123,0.005968273,0.005179969,0.002250587,0.004644214,0.013949412,0.008092791
2610027K06Rik,0.138916466,0.126772934,0.07994097,0.063340682,0.088035913,0.098587105,0.093528083,0.11672045
Tbx2,0.007334189,0.005037526,0.012879096,0.003773394,0.004907729,0.005176004,0.041262335,0.007293943
Gm11444,0.002412999,0.003516442,0.000697781,0.004141038,0.000889018,0,0,0
Tbx4,0.003751283,0,0.000394865,0,0,0,0.008921693,0
Brip1,0.041481748,0.038502819,0.04714727,0.04062982,0.037203761,0.037001501,0.18442356,0.03797839
Brip1os,0.289735119,0.365398659,0.321007058,0.336114892,0.37419642,0.434789122,0.391043361,0.321151983
Ints2,0.296331337,0.268204806,0.299938555,0.234318373,0.274539409,0.294028138,0.330959967,0.322358377
Med13,1.061858545,1.089249457,1.112627136,1.089576978,1.074716764,1.119374432,1.18814452,1.077258445
Rnft1,0.263866858,0.290337067,0.201837058,0.233902654,0.213586079,0.31256858,0.188214576,0.160412564
Rps6kb1,0.774572094,0.769496904,0.721358614,0.800739406,0.679673532,0.844324355,0.832793101,0.676132705
Tubd1,0.158721308,0.142010558,0.118961036,0.126423491,0.078649418,0.167724822,0.321000148,0.205842447
Vmp1,4.03667542,5.860637335,2.834764256,4.408581541,2.973043701,3.739714991,3.750599147,2.95843419
Ptrh2,0.098224654,0.109054125,0.07993391,0.106144299,0.089533686,0.079721022,0.083554843,0.067444313
Cltc,1.390300594,1.758287429,1.981575928,1.913022061,1.641485975,1.331095463,1.604287488,1.46733569
Dhx40,0.356032509,0.360462359,0.419085786,0.262008709,0.29787357,0.389909068,0.483383183,0.404618629
Ypel2,0.531156269,0.644916857,0.787242324,0.620723667,0.643717964,0.834868175,0.501443801,0.494036874
Gdpd1,0.697690662,0.646149017,0.630718018,0.566970246,0.70522637,0.742181343,0.728256,0.587270898
