,RNA.0,RNA.1,RNA.2,RNA.3,RNA.4,RNA.5,RNA.6,RNA.7
Xkr4,8.164786032,5.523073876,4.538118562,7.056664528,5.450190279,8.936820477,6.150557311,9.08845701
Gm1992,0.359364415,0.242663499,0.17623251,0.293318925,0.262700299,0.422987464,0.238655955,0.296887999
Gm19938,0.35527687,0.237788792,0.194280611,0.30825035,0.289951061,0.44541319,0.224103682,0.419897578
Gm37381,0.002458177,0,0,0.000786757,0,0,0.004461766,0
Rp1,0.020956123,0.02113781,0.008483574,0.016841264,0.010424053,0.048979216,0.018722874,0.001328228
Sox17,0,0,0,0,0.00208806,0,0,0
Gm37323,0,0,0,0,0,0,0.005573872,0
Mrpl15,0.221484749,0.178485234,0.172112006,0.151774435,0.157822473,0.177356436,0.233272661,0.164992421
Lypla1,0.262505738,0.281936425,0.254042166,0.350492171,0.2604439,0.399316076,0.238272041,0.26152555
Tcea1,0.875116329,1.037662819,0.683607749,0.906524348,0.677030014,0.895553481,0.717983406,0.670295665
Rgs20,0.382766518,0.87195355,1.438416713,0.978670883,1.717334689,1.219950917,0.706953457,1.404303773
Gm16041,0.001004661,0.001783667,0.001091872,0.001625191,0.002048204,0,0,0.00278666
Atp6v1h,2.418875121,3.856271935,3.554564351,3.137630135,3.36417627,2.418545309,3.095300411,3.002262182
Oprk1,0.000273259,0,0,0,0,0.011851676,0,0
Rb1cc1,2.19806552,2.780717754,2.934025078,3.097794186,2.75085723,2.11979317,2.851897499,2.370603784
4732440D04Rik,0.068997469,0.123873625,0.066138663,0.169928344,0.097432865,0.067969014,0.050142567,0.06156043
Alkal1,0.006679046,0.000779905,0.002023313,0.004157379,0.013868804,0.003628118,0.013746366,0.011391544
St18,0.00948856,0.005924317,0.011831173,0.021826874,0.004925781,0.98529703,0.020973725,0.012092125
Pcmtd1,1.072601699,0.928552549,1.070965481,0.912767662,0.961659262,1.367936447,0.914896106,0.987732632
Gm26901,0.228576176,0.202769295,0.24501199,0.281519425,0.208722432,0.227770224,0.207995803,0.198298083
Gm30414,0,0,0.000531022,0.000763988,0,0,0.005872904,0
Sntg1,7.509389269,6.666336975,4.737443884,7.174149859,4.799539808,7.491187488,7.202940139,5.278764553
Rrs1,0.003937299,0.013692007,0.023694024,0.009875351,0.008173272,0.008976082,0.001954805,0.011024727
Adhfe1,0.021477299,0.032308918,0.030966978,0.021262615,0.025228875,0.076061432,0.020153406,0.03114534
2610203C22Rik,0.033230503,0.01495243,0.010237788,0.001431548,0.003672319,0.04020482,0.023342617,0.013606711
Vxn,0.235160166,0.083619991,0.088668539,0.031931261,0.0249792,0.179638884,0.183471931,0.185451086
Mybl1,0.009764678,0.026938285,0.064273825,0.02890291,0.017526041,0.018777749,0.467893756,0.038638341
Vcpip1,0.346585817,0.334238301,0.397383891,0.375480019,0.324462499,0.276971172,0.297710147,0.368065952
1700034P13Rik,0.043479813,0.070623386,0.114616613,0.062038123,0.042595232,0.04764161,2.717396813,0.07669705
Sgk3,0.416894064,0.312630646,0.482763835,0.343559629,0.232199086,0.307002622,0.392101563,0.392361373
Mcmdc2,0.172147641,0.128533635,0.084717075,0.080432953,0.109023156,0.186486561,0.22558129,0.079235778
Snhg6,0.018057362,0.022342947,0.015804461,0.020119198,0.025238895,0.023837194,0.049993925,0.017965927
Tcf24,0.001771556,0,0.001819729,0.003657108,0.003479693,0.001497768,0,0.006374534
Ppp1r42,0.020548978,0.029369564,0.019282585,0.020856518,0.024065782,0.032379205,0.035438124,0.017761944
Gm15818,0.003098416,0.001019589,0.007950918,0.00430771,0.001320517,0,0.106911861,0
Cops5,0.3388116,0.334268298,0.457076266,0.401801656,0.375937489,0.321587367,0.356545224,0.415008924
Cspp1,1.958081957,1.73244272,1.471209163,2.225036722,1.701547777,2.17723695,1.667892025,1.698361066
Arfgef1,1.475754029,1.34912916,1.36775294,1.319483076,1.231453702,1.465062567,1.483640655,1.555436
Cpa6,0.36193334,0.217245289,0.157616122,0.134463413,0.047580069,0.257858853,0.576138736,0.074695027
Prex2,0.406501326,0.311741825,0.245461231,0.188686034,0.187664103,0.930872604,0.386098383,0.310610497
A830018L16Rik,9.272378835,6.84306276,2.570029277,6.218264205,2.292630786,7.989067425,5.14257997,3.867142042
Sulf1,0.030827239,0.021732418,0.066056196,0.007400887,0.017826604,0.037277822,0.045698173,0.258703593
Slco5a1,0.157450287,0.136673493,0.181997176,0.148298993,0.313680344,0.13310795,0.115638045,0.186601106
Gm29283,0.002458177,0,0.001819108,0.001404091,0,0,0.002791561,0.003317047
Prdm14,0.001737657,0.000519851,0,0.006802193,0,0,0.056947229,0
Ncoa2,2.550766736,2.112093198,2.619133756,2.502634015,2.265013458,2.498401577,2.419771616,2.188955465
Gm29570,0.022007857,0.022866225,0.003719519,0.045968625,0.023608532,0.033189785,0.080945937,0
Tram1,0.146394824,0.167106359,0.213296335,0.231072887,0.281438353,0.134959767,0.065967788,0.220415827
Lactb2,0.631520354,0.697310825,0.949670126,0.88157738,1.05002142,0.562552526,0.815732313,0.768225215
Xkr9,0.000388798,0.00298957,0,0.005618081,0.004873976,0,0,0
Eya1,0.002813755,0.00461019,0.024347237,0.000533398,0.006111353,0.078147134,0.028312279,0
Gm9947,0.058655341,0.049687854,0.028919306,0.069048334,0.016260488,0.066210927,0.046132234,0.023855644
Msc,0.001711899,0.013509731,0,0.008323208,0.010798191,0.008689391,0.00143302,0
Trpa1,0.002221463,0.01286789,0.002352303,0.001796828,0,0,0.009111687,0
Kcnb2,5.310984284,4.968388347,6.618717441,5.841777609,8.661626552,6.824019865,3.66566709,8.322133247
Terf1,0.436378629,0.397922758,0.274565601,0.285480923,0.280681451,0.510617621,0.361232483,0.390880891
Sbspon,0.014868089,0.013963525,0.002769938,0.002406454,0.010032806,0.014357928,0,0.015154642
4930444P10Rik,0.097522727,0.08384338,0.082619425,0.064057127,0.061682897,0.044634036,0.071768404,0.070252211
Rpl7,0.037388588,0.023463107,0.0243129,0.023099332,0.031648128,0.05699158,0.029094997,0.04360816
Rdh10,0.178767546,0.219905182,0.172410195,0.147421461,0.221644916,0.214296756,0.117008032,0.16112967
Gm28095,0.012781544,0.014419447,0.00620523,0.022163942,0.015009841,0.009754161,0.008850262,0.003078177
Stau2,2.726080534,2.92781167,2.331829899,3.154292273,2.062283878,2.632131013,2.248720943,2.231782504
Gm7568,0.016265367,0.02373553,0.016590982,0.019881839,0.015428187,0.008123953,0.003748202,0.003964179
Ube2w,1.358269996,1.436265643,1.278575305,1.435344143,1.280996989,1.341207539,1.115485859,1.250406057
Eloc,0.149205621,0.171205495,0.190458061,0.21633207,0.20290534,0.132205069,0.130841087,0.167681616
D030040B21Rik,0.000859036,0,0.00132957,0,0.000918172,0,0,0.004300038
Tmem70,0.088574642,0.080041863,0.087749584,0.087712251,0.08462925,0.09659248,0.051987629,0.096164817
Ly96,0.138803003,0.279291835,0.1884207,0.333891372,0.253432429,0.153491281,0.279047762,0.083717137
Gm28376,1.171723792,0.947372884,0.465906527,1.154815108,0.496589113,0.732353254,0.85827709,0.466254882
Jph1,1.665970266,1.034863236,0.732706055,1.5859429,0.623556096,0.916398517,1.221576988,0.801030457
Gm28783,0.002493937,0.002770538,0.000609864,0.005564613,0.003829348,0,0,0
Gdap1,0.398830967,0.333250982,0.337072616,0.307682455,0.364110687,0.490692483,0.289645395,0.27119926
Gm28784,0.006605244,0.010953148,0.003687007,0.008202944,0.013318188,0.005408219,0.01171576,0.016522689
Pi15,0.007076779,0.014243567,0.005027457,0.016044595,0.008618582,0.001067253,0.007614453,0.026038408
Gm28154,0.014693383,0.017721483,0.013333767,0.008514515,0.012258153,0.014051268,0.012150523,0.004481863
Gm16070,0.100606563,0.089425327,0.052789226,0.029319405,0.039148377,0.087728537,0.085454242,0.07831785
Crispld1,0.02306471,0.038512853,0.020335206,0.020048687,0.030769694,0.018651225,0.056603196,0.004974352
Gm28153,0.076230504,0.065515106,0.049247616,0.026493873,0.026172241,0.08616712,0.524821588,0.079137609
Gm28756,0.22298018,0.169718011,0.143500736,0.130780916,0.12514555,0.232892375,0.133087798,0.113021799
Crisp4,0,0.002785864,0.001257586,0.001137907,0.003768678,0,0,0
Gm15825,0.001173751,0.014774412,0.010253327,0.019147546,0.00447171,0.006530465,0.008089274,0.02096428
Tfap2d,0.002896532,0.008105743,0.001740952,0.001302926,0.003782346,0.003799848,0,0
Pkhd1,0.171079388,0.122045898,0.078483931,0.145640142,0.08476851,0.09837202,0.14282372,0.067213969
4930486I03Rik,0.01029215,0.032114713,0.001575485,0.023346429,0.004851506,0.021929001,0.002849933,0.003879411
Gm28653,0.000258221,0,0,0.000598998,0,0,0.003291282,0
Il17f,0.000169081,0.001542438,0.001125689,0,0,0.001419169,0,0
Mcm3,0.000564633,0.000423964,0.005648129,0,0,0,0.014438329,0
6720483E21Rik,0.006183706,0,0.006345918,0.001750827,0.008745939,0,0.010645179,0
Paqr8,0.403871847,0.420760003,0.331408333,0.332875352,0.275916476,0.736667167,0.281292104,0.261444091
Efhc1,0.018632186,0.033828382,0.014604387,0.018492521,0.025757796,0.026922472,0.04475131,0.021654468
Tram2,0.024370783,0.02759212,0.028036922,0.041893764,0.025735405,0.048435428,0.101264906,0.028755743
Tmem14a,0.024558444,0.016841766,0.007177618,0.004069179,0.007657051,0.061822427,0.030855402,0.006613791
Gsta3,0.024524153,0.019290814,0.017090778,0.017242857,0.008450843,0.061764413,0.018597923,0.015246136
Gm28836,0.020437731,0.009627309,0.004532834,0.014807595,0.000896016,0.046016665,0.022840141,0.003580745
Kcnq5,14.94603905,9.942070049,6.067045259,10.8091309,5.789124169,13.36029914,8.406019146,5.6503157
Rims1,7.54057779,6.830906573,6.166714562,7.980778771,6.773362621,7.47932338,5.644715776,8.388182631
Gm29506,0.002879452,0.011159157,0.011883511,0.004044973,0.008805444,0.001245132,0.028790185,0.016113357
Gm29107,0.006367425,0.014156417,0.003656215,0.007043844,0.008999108,0.01723669,0.025776465,0.003994733
Ogfrl1,0.191862756,0.29176667,0.19648577,0.253138891,0.215830801,0.178231162,0.196100803,0.235378362
Gm28822,0,0,0,0,0,0,0,0.004461317
B3gat2,0.058020019,0.053500866,0.03580647,0.061359695,0.048249467,0.074052584,0.056211768,0.02001272
Smap1,0.951173319,0.961093078,0.997200885,1.537784459,1.026689887,0.822771409,0.983682414,1.014160266
Sdhaf4,0.035055549,0.040508184,0.033606272,0.02110825,0.023342802,0.028966733,0.023757004,0.009098632
Fam135a,0.831422773,0.838156141,0.710931778,0.924555262,0.656087383,0.861054562,0.802082157,0.640493556
Col9a1,0.002341744,0.002269682,0.002362321,0,0,0.008516074,0.003690956,0
Col19a1,0.011390877,0.020050978,0.025880445,0.00850435,0.006909558,0.372091967,0.250991363,0.028608655
Lmbrd1,1.1712154,1.581751379,1.202959935,1.405396198,1.359423823,0.852790154,1.657872574,1.024429833
Adgrb3,21.68846101,20.99189462,17.81800432,13.47858124,14.53119677,24.20764694,17.52790563,17.70708503
4931408C20Rik,0.000455541,0.000618663,0.002668855,0,0,0,0,0
Phf3,1.195573515,1.359497009,1.298097549,1.092432987,1.270283463,1.104824714,1.351488076,1.165101809
Ptp4a1,0.005022913,0.006858812,0.026882691,0.008416537,0.021729312,0.017108183,0.015454411,0.013945464
Ptp4a1.1,0,0.000545025,0,0.001494328,0.003058359,0,0,0
4931428L18Rik,0.003192466,0.005103008,0.006834953,0.005685088,0.008867745,0.002698223,0.029657089,0
Gm28644,0,0,0,0,0.002464973,0,0.011952429,0
Gm29128,0.000500442,0.002355435,0.00259787,0,0.001106144,0,0,0
Lgsn,0.000450071,0.00080948,0,0,0,0.001161794,0.011869203,0
Khdrbs2,6.91977599,8.679135267,4.706720834,6.03405065,5.989570251,7.81556771,4.205588412,7.361610348
Gm5415,0.007494989,0.016127563,0.004351587,0.003832459,0.005914102,0.01843119,0.004998956,0.015111213
Gm37724,0.003858567,0.008077397,0.005192876,0.002101778,0.002394164,0,0.004252668,0
Prim2,0.332964062,0.187434218,0.139881544,0.177827574,0.161365228,0.276019612,0.392763188,0.113212224
Rab23,0.138959482,0.143032586,0.150906606,0.135547856,0.149263424,0.117570631,0.140390255,0.110197588
Bag2,0.090683218,0.076331367,0.075824573,0.055514634,0.045642041,0.056540436,0.08039045,0.052793188
Zfp451,0.620156943,0.724747138,0.904589161,0.632320416,0.939805221,0.739789226,0.988815837,0.6162967
Bend6,0.87717936,0.737513336,1.046751836,0.858164901,1.120096218,0.842538842,0.5580295,1.148451551
Dst,7.607000083,8.313789455,14.24219551,12.19042584,22.51543767,7.100808874,10.68123354,15.65961621
Gm26788,0.029299381,0.040448008,0.05112416,0.055541602,0.128383257,0.053968273,0.067180726,0.093796202
Gm37233,0.04765744,0.063582489,0.056209373,0.045643231,0.042026355,0.020001873,0.026075933,0.052407234
Ccdc115,0.016654692,0.011596122,0.004574148,0.008850787,0.006627766,0.012526267,0.029931377,0.003580745
Imp4,0.061602623,0.050434537,0.047846554,0.055664791,0.051172359,0.02784319,0.068267689,0.074229858
Ptpn18,0.023185603,0.017001738,0.023513445,0.027063365,0.011839519,0.009562005,0.027294172,0.031420157
Gm28417,0.000341567,0,0.001166613,0.000640949,0,0.005358985,0,0
4930568A12Rik,0.007878051,0.00463795,0.003771752,0.01729888,0.005105498,0,0.011529133,0
Cfc1,0,0,0,0,0,0,0,0
Prss40,0,0,0.001258907,0.002726045,0.001402368,0,0,0.002230659
Amer3,0.037066784,0.036576282,0.033077832,0.030764263,0.043734988,0.026329636,0.067113644,0.042557757
Arhgef4,0.405199618,0.280238807,0.297795222,0.252438348,0.19393443,0.641578166,0.40561167,0.266536298
Gm38336,0.002573841,0.004670094,0.004952606,0.002846842,0.006697421,0.008264113,0.00293121,0.003317047
Fam168b,0.425378008,0.443549944,0.4122934,0.463144592,0.474871069,0.433103678,0.594681027,0.374075408
Plekhb2,0.326359909,0.335494399,0.358786274,0.449854629,0.33465101,0.292722345,0.282688802,0.282522608
Gm37068,0.007587405,0,0,0,0,0,0.011006067,0
1110002O04Rik,0.007254298,0,0,0.001291843,0,0.004806515,0.008899547,0
Gm33222,0,0,0,0,0.000812603,0,0.007795744,0.001991593
Hs6st1,0.197711477,0.188673875,0.153845161,0.136460545,0.127936822,0.213216558,0.217563383,0.168981113
Gm33280,0.001387084,0.001977505,0.001897373,0.006266352,0.001103022,0.003443378,0,0
Uggt1,0.56019094,0.560247067,0.572044466,0.425199042,0.577099928,0.423521891,0.587839782,0.486163043
Neurl3,0.000868468,0,0,0.003638212,0.001505955,0,0.003851961,0
Arid5a,0.264032358,0.324185622,0.232497918,0.401767818,0.194177351,0.225611765,0.227083097,0.427508989
4930403P22Rik,0.01677195,0.023933345,0.011567133,0.027947247,0.007827256,0.033476403,0.012480871,0.017345625
Kansl3,0.486462165,0.442157113,0.485409037,0.468174882,0.450998895,0.550908698,0.607999687,0.474040954
Fer1l5,0,0.001928907,0.000538486,0,0.000422131,0,0.013509306,0
Lman2l,0.393990599,0.304921769,0.218784953,0.294373242,0.256877957,0.321739014,0.353733364,0.264016399
Cnnm4,0.08876249,0.070604422,0.07099724,0.053881584,0.041395859,0.061395544,0.077869293,0.031594247
Cnnm3,0.199202065,0.130403118,0.14955443,0.170396258,0.114644807,0.220083628,0.121338277,0.07864707
Gm38033,0.0076125,0.004071553,0.002422205,0.002135995,0.001451753,0.007590831,0.0011677,0
Ankrd23,0.022451421,0.025411853,0.012071126,0.057127978,0.030325531,0.026281135,0.062802496,0.040381115
Ankrd39,0.067095754,0.07709794,0.050142468,0.088083642,0.061429734,0.087265094,0.057958681,0.060226063
Sema4c,0.0094029,0.002101068,0.000659648,0.009586194,0.006019642,0.025584468,0.003148392,0.007309927
D430040D24Rik,0.000884669,0.006270899,0.002001281,0.002022621,0.001830022,0.028279922,0,0
Fam178b,0.000961651,0,0.018350275,0.002420989,0.002790847,0,0.042999643,0.003994733
Cox5b,0.041357061,0.050961277,0.042921004,0.041658317,0.037173628,0.062530164,0.097370316,0.057773857
Actr1b,0.524378686,0.729936017,0.777890393,0.455053724,0.543945137,0.502269205,1.099887139,0.542694641
4933424G06Rik,0.064434339,0.058417582,0.071397575,0.058540355,0.083802735,0.056414511,0.078527433,0.05804352
Gm33533,0.03431026,0.019415079,0.022054702,0.020445035,0.007657959,0.055172076,0.018764332,0.017339922
Zap70,0.008131132,0.019743419,0.031371525,0.005787974,0.034633523,0.005822339,0.020368775,0.004823257
Tmem131,0.80896807,0.79044002,0.75370206,0.654310248,0.771627156,0.916657298,0.846262671,0.669348789
Gm38115,0.049644156,0.040397073,0.040095229,0.033714458,0.028160563,0.065811683,0.034223543,0.030672393
Vwa3b,0.004377988,0.001415568,0.002246486,0.014695676,0.001803487,0.006348714,0.003676989,0
Gm37020,0.000835226,0,0,0,0,0,0,0
Cnga3,0.000382186,0,0,0.003199655,0.001370505,0,0.005888061,0.005082571
Inpp4a,1.251106748,1.140114076,1.285504714,1.315122764,0.985632417,0.977956549,1.662584693,1.157103962
4930439A04Rik,0.001771622,0.000919634,0.002141993,0.002990811,0,0.004017491,0,0.007584685
Coa5,0.048813091,0.050941797,0.045634397,0.052152394,0.039072358,0.077043324,0.050367016,0.045355566
Unc50,0.052709897,0.042222916,0.043699212,0.053931946,0.055364398,0.094488929,0.034762239,0.048144931
Mgat4a,0.360986472,0.252584605,0.228540902,0.235103864,0.177388401,0.268406376,0.194816829,0.253014551
2010300C02Rik,1.547168129,0.652292758,0.816139519,0.355266116,0.230251927,1.021281998,1.438672724,0.769939218
4930556I23Rik,0.002026406,0.003077181,0.003779388,0,0.003867454,0.001356926,0,0
Tsga10,0.532990662,0.400419444,0.355829168,0.552529538,0.359568574,0.476283057,0.614852389,0.547846604
Gm26805,0.012713473,0.006887705,0.003345246,0.0177384,0.008922999,0.006358019,0.006257732,0
Lipt1,0.009091806,0.007795994,0.002099605,0.004671202,0.007951519,0.020731219,0.007780735,0.010738767
Mitd1,0.104213478,0.097772672,0.076589553,0.060575387,0.057621706,0.193075074,0.151722061,0.206627546
Mrpl30,0.054465793,0.068287686,0.039887675,0.030924856,0.056047947,0.068212458,0.065752202,0.075711942
Lyg2,0,0,0,0.001401685,0,0,0,0
Gm15457,0.000784311,0.000443262,0.001593067,0,0,0,0.008846768,0
Txndc9,0.120179296,0.153097733,0.14209794,0.163578651,0.174955846,0.145613311,0.138366184,0.093799459
Eif5b,0.711608763,0.718993977,0.879676936,0.76299924,0.783779676,0.5968261,0.918934109,0.79744696
Rev1,1.136448025,0.993139347,1.081355918,1.026738281,0.892831926,1.120723361,1.353552386,0.950323654
Gm37062,0.0042916,0.000528012,0,0,0,0,0.002767477,0
Gm5099,0.004056303,0.003196325,0.000478062,0.000638438,0.003048031,0,0.023999241,0
Aff3,3.480379977,2.418075931,2.918795264,2.40112733,2.228423062,3.125326632,3.676702835,2.977286835
Gm16150,0.013643001,0.010057005,0.010235194,0.009716678,0.018405105,0.006795869,0.010534673,0.018535046
Gm16151,0.000781743,0.000408149,0.002976749,0.000570234,0.002143868,0.002115619,0.002825298,0.002828838
Gm16152,0.056410066,0.035424107,0.053110097,0.045754799,0.045974534,0.035839674,0.088772144,0.038149155
Lonrf2,0.404685891,0.38864529,0.403120949,0.276985702,0.506641676,0.391938446,0.303645194,0.335681992
Chst10,0.184428547,0.143827537,0.123359454,0.171259914,0.129200293,0.201338925,0.106296585,0.126471684
Gm37707,0.000211254,0.001342792,0,0,0.000635096,0.001119855,0,0
Nms,0,0,0,0,0,0,0,0
Pdcl3,0.078455872,0.106474082,0.126084534,0.082154205,0.116154078,0.040274199,0.096541997,0.081363246
Npas2,2.275034693,1.521589447,1.580631598,1.874797484,0.857857843,1.029513998,1.320671466,1.414105232
Rpl31,0.064185871,0.044524527,0.074614388,0.061426845,0.065829396,0.099079592,0.063067956,0.062451767
Tbc1d8,0.407941833,0.337491727,0.268431086,0.306707876,0.25406844,0.287880796,0.492183242,0.355399407
Cnot11,0.067918059,0.060726535,0.070531606,0.056909937,0.05057941,0.086874913,0.054945437,0.115322199
Gm15832,0.028914612,0.030727235,0.016015585,0.029581184,0.023219123,0.018283392,0.056172792,0.018333447
Rnf149,0.326053211,0.364683949,0.34916757,0.415288964,0.2946809,0.30218046,0.277422452,0.200690514
Creg2,0.250852731,0.085779286,0.139072624,0.048390548,0.078468327,0.223860013,0.165563741,0.111591079
D930019O06Rik,0.006309712,0.003486769,0.002660139,0,0.003528865,0.010019975,0.005042445,0
Rfx8,0.015565301,0.012512629,0.006230697,0.010093708,0.004783852,0.016059369,0.011338657,0.004660829
1700066B17Rik,0.000472341,0.001086374,0,0,0,0,0,0
Map4k4,1.15592341,1.288268205,2.041446486,1.766107487,2.462319374,1.288211721,1.944330559,2.125258894
Il1r2,0.059311411,0.042750685,0.023872912,0.004819909,0.013416222,0.046897297,0.044844135,0.012789038
Gm16894,0.28074153,0.152594116,0.136694662,0.052477464,0.071618165,0.182665398,0.169836987,0.137078133
Il1r1,0.020662774,0.037466362,0.10088571,0.106354424,0.171973036,0.047638357,0.053551308,0.150027851
Il1rl2,0.003512916,0.005987802,0.018902354,0.008204347,0.062687823,0.009198965,0.011125514,0.007394321
Il1rl1,0.000341567,0.001223373,0,0.001588452,0.000591273,0,0.004252668,0
Il18r1,0.001308018,0,0,0.00034216,0,0,0,0
Slc9a4,0.006008924,0.025310153,0.026174241,0.015918351,0.013118026,0.01105357,0.05605698,0.008113208
Slc9a2,0.011792106,0.01433227,0.005297308,0.012480869,0.008776522,0.019995952,0,0.030270749
Gm37623,0,0,0.000548643,0.000623329,0,0.002020825,0,0
Gm37915,0.008347321,0.009236388,0.01949576,0.011347267,0.016329898,0.010121785,0.003038129,0.014025967
Mfsd9,0.02781604,0.035995183,0.056727221,0.025165122,0.039829977,0.015051025,0.021641178,0.035074997
Tmem182,0.000232643,0.002161723,0.002071296,0.004115444,0.003245799,0,0,0.01504874
Gm29260,0.014511221,0.010461774,0.004729435,0.006906642,0.004720798,0.011713407,0.011484802,0.003078177
Gm28175,0.391895032,0.216748629,0.111352184,0.060479618,0.062983902,0.650236921,0.207750915,0.187888132
Gm28140,0.00824568,0.016694296,0.008705221,0.018591749,0.020957527,0.033984442,0.031268581,0.019458381
Pantr1,0.53386998,0.560128043,0.391486134,0.349979618,0.192688854,0.812029406,0.735869819,0.322726916
Gm20646,0.280148709,0.241002399,0.153822766,0.091642801,0.067141901,0.33367286,0.273321821,0.129170063
Pou3f3,0.123683028,0.134781862,0.105581398,0.058801731,0.060327055,0.250266284,0.200326492,0.049909423
Pantr2,0.057395243,0.071634067,0.030308015,0.030258451,0.015278342,0.126320513,0.072176906,0.014373819
Dalir,0.005102742,0.007613393,0.00172519,0.000441052,0.000634972,0.030256461,0.001777737,0.001328228
Mrps9,0.496031576,0.447402043,0.441703184,0.374497962,0.390314991,0.575840844,0.466515735,0.507284149
Gpr45,0.996660802,0.889180333,1.242261383,0.865460524,0.999498313,0.948898766,0.734282251,1.549518064
Tgfbrap1,0.196236256,0.185399239,0.227731071,0.177479539,0.178055358,0.187938681,0.242161361,0.149208916
8430432A02Rik,0.005091628,0.005267876,0.005824925,0.003628336,0.001771066,0,0,0
AI597479,0.066852267,0.05188503,0.056183618,0.051251865,0.056329059,0.087679651,0.067425621,0.074300014
Fhl2,1.001752001,1.253373486,1.030982589,1.534982609,1.158494727,0.862110748,0.666757988,1.262383935
Gm29040,0.008832867,0.004142171,0.002938594,0.014925841,0.002204781,0.009084858,0.036554624,0.018108449
Nck2,0.817471903,0.617678613,0.898385645,0.807442066,0.953527702,0.842450633,0.660779224,0.99766237
Ecrg4,0.005517061,0.003864472,0.002535214,0.001431476,0.003036457,0.001737287,0,0.007158022
Gm29155,0.005479542,0.007318669,0.011152408,0.002591311,0.01108063,0.003332917,0.002027861,0.015000341
Gm29156,0,0,0,0.007622405,0.002171548,0.001161794,0.002767477,0
Uxs1,0.742200289,0.929724634,1.518810316,0.695003006,1.214139559,0.844006913,0.759444195,1.672101668
Tpp2,0.818955517,0.862960685,0.833047728,0.850729049,0.786576724,0.858636422,0.802691156,0.770936077
Mettl21c,0.011933237,0.009077388,0.00277421,0.014511478,0.004831282,0.011187502,0,0.002240865
Gm8251,0.007093395,0.012860173,0.004267814,0.019035045,0.013055083,0.009674777,0.034074161,0.003181449
Tex30,0.028937155,0.025499772,0.015904468,0.052713526,0.017661018,0.022453559,0.02328658,0.006934563
Poglut2,0.08591606,0.073746866,0.056480787,0.059689051,0.038293557,0.122796382,0.10664333,0.067507135
Bivm,0.206553154,0.127134634,0.130098864,0.090337624,0.116890995,0.128351939,0.135308069,0.131287612
Ercc5,0.20777019,0.210733402,0.185811471,0.201170506,0.172951943,0.260004286,0.437893686,0.125337948
Mettl21e,0.00182059,0.00124896,0,0.000595342,0,0,0,0
Gulp1,0.031892383,0.191846493,0.055320726,0.123036535,0.13674897,0.122043741,0.016282303,0.030863377
4930521E06Rik,0.003543014,0.018900728,0.004691405,0.019502456,0.015277309,0,0,0.002153607
Col3a1,0.000444357,0.001154853,0,0,0.000912285,0,0,0.001473481
Col5a2,0.005969133,0.006659347,0.007817421,0.008041839,0.004757314,0.005551508,0.002496309,0.014409821
Wdr75,0.237705681,0.216092138,0.251270394,0.194960286,0.239879712,0.27143891,0.344010409,0.224262809
Slc40a1,0.027442472,0.027669514,0.02546207,0.031561116,0.020295502,0.032060342,0.031601854,0.011864474
Dnah7b,0.011681266,0.019607772,0.010173503,0.012083601,0.025914289,0.13332819,0.031554643,0
Dnah7c,0.038765164,0.062443217,0.030917826,0.05834068,0.025880436,0.089261706,0.083208825,0.020059712
Slc39a10,0.226771198,0.20876852,0.19905702,0.242048183,0.167979852,0.402418614,0.185604862,0.224585561
Gm28151,0.017089189,0.018387528,0.012951868,0.011319477,0.012754122,0.006702123,0.016230214,0.025222917
Gm28826,0.001609739,0.001729539,0.003961012,0.004279027,0.001708466,0.006216606,0,0.00374072
C230029F24Rik,0.001879812,0.004188346,0,0.00102964,0.00158787,0,0.00436423,0
4933411E06Rik,0.000607646,0,0,0,0.000635096,0,0.002027861,0
Tmeff2,2.517553916,2.348236198,2.606843925,1.835185969,4.069535444,8.322842641,2.454967336,3.344095335
Gm28322,0,0,0,0.001291843,0,0.009446261,0,0
Gm28319,0.00268533,0.004651889,0.000825154,0,0.003364522,0.002585326,0,0
Gm28320,0.054317665,0.061126262,0.054372855,0.043650978,0.094996343,0.164984276,0.03580526,0.065620669
Gm29325,0.009859918,0.009098746,0.012421726,0.01184259,0.017827758,0.031556775,0,0.026116786
9330175M20Rik,0.064990944,0.094801285,0.104948239,0.064345652,0.139064054,0.093969639,0.119397454,0.09167855
Cavin2,0.019485946,0.018551179,0.037714498,0.019247222,0.03223285,0.006401923,0.068026213,0.017412627
1700072G22Rik,0,0,0.001784254,0,0.000424403,0,0,0
Nabp1,0.09351449,0.112880315,0.130307019,0.137979754,0.116374222,0.105250717,0.161064126,0.10610722
Gm17767,0.007517069,0.002155343,0.003984837,0.00388557,0.000918172,0.01244949,0.016270999,0.002230659
Gm28055,0.008736519,0.006019461,0.001638601,0.001420957,0.007387366,0.004878018,0.015271984,0
Myo1b,0.024854588,0.044168276,0.032714804,0.037589589,0.049931712,0.153523844,0.051070362,0.028944637
Stat4,0.0105324,0.012258871,0.030713159,0.010915988,0.00675062,0,0.012290854,0
Gm31812,0.001461473,0.003268683,0,0.001479908,0.002797992,0.005971182,0,0
Stat1,0.195411925,0.180914937,0.159236739,0.114959054,0.137238957,0.164497404,0.145701069,1.115346776
Gls,2.497045785,2.027054956,2.060236071,2.917004228,2.393489062,2.245390819,2.055949263,2.208812363
Nab1,0.359007172,0.355528908,0.316295609,0.223052344,0.175684596,0.499869309,0.232912408,0.329544443
