,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Txnl1,5.22E-08,0.181117821,0.485,0.339,0.001288973
Txnl4a,0.002053082,0.066694337,0.068,0.042,1
Txnrd1,9.07E-45,1.21490262,0.492,0.243,2.24E-40
Txnrd2,4.54E-09,0.496898352,0.177,0.099,0.000111889
Txnrd3,0.192397994,-0.138183333,0.022,0.016,1
Tyk2,0.042369546,-0.505844729,0.23,0.248,1
Tyms,0.563763094,-0.422496366,0.038,0.042,1
Tyro3,1.11E-48,1.117596826,0.4,0.155,2.74E-44
Tysnd1,0.088696316,-0.025043138,0.065,0.049,1
Tyw1,0.00454609,-0.041628168,0.457,0.359,1
Tyw3,0.21885313,-0.886981478,0.047,0.056,1
Tyw5,0.008751366,-0.815115186,0.182,0.206,1
U2af1,0.502922775,-0.401792527,0.336,0.309,1
U2af1l4,0.253289599,-0.125082509,0.037,0.029,1
U2af2,4.76E-06,0.1757811,0.294,0.203,0.117554589
U2surp,1.44E-20,0.396352479,0.877,0.706,3.55E-16
Uap1,2.24E-06,0.308674838,0.237,0.158,0.055237499
Uap1l1,0.143362229,-0.036686542,0.028,0.02,1
Uba1,0.013598323,-0.127269132,0.397,0.316,1
Uba2,3.44E-07,0.197652553,0.455,0.326,0.008495624
Uba3,0.08754983,-0.147977754,0.199,0.164,1
Uba5,0.256910461,-0.241866209,0.441,0.367,1
Uba52,0.280682949,-0.572712581,0.128,0.135,1
Uba6,1.24E-34,0.788269091,0.673,0.432,3.06E-30
Ubac1,0.082687057,-0.137128025,0.31,0.258,1
Ubac2,0.080421436,0.018975329,0.647,0.557,1
Ubald1,2.37E-16,0.806321252,0.19,0.086,5.84E-12
Ubald2,1.29E-05,-1.660207066,0.034,0.074,0.317198719
Ubap1,1.69E-15,0.484774414,0.503,0.328,4.18E-11
Ubap1l,1.15E-06,0.458451701,0.152,0.091,0.028397677
Ubap2,3.26E-23,0.516914964,0.672,0.447,8.04E-19
Ubap2l,1.22E-15,0.381892339,0.812,0.635,3.01E-11
Ubash3a,4.35E-12,0.854726414,0.103,0.041,1.07E-07
Ubash3b,3.76E-59,2.712571011,0.251,0.062,9.29E-55
Ubb,0.287601286,-0.495635606,0.225,0.219,1
Ubc,0.330789428,-0.142030586,0.136,0.12,1
Ube2a,0.453150958,-0.517918235,0.078,0.084,1
Ube2b,2.13E-69,0.679292439,0.949,0.812,5.26E-65
Ube2cbp,0.550833644,0.370550232,0.119,0.11,1
Ube2d1,0.170339798,-0.046851152,0.541,0.467,1
Ube2d2a,2.33E-08,0.240149942,0.73,0.594,0.000574082
Ube2d3,6.12E-22,0.497743614,0.659,0.439,1.51E-17
Ube2e1,1.56E-08,0.346710055,0.477,0.347,0.000384751
Ube2e2,2.73E-76,0.446551035,1,0.996,6.73E-72
Ube2e3,0.097259441,-0.044434255,0.369,0.311,1
Ube2f,2.83E-23,0.652880512,0.55,0.35,6.99E-19
Ube2g1,3.01E-08,-0.277942187,0.822,0.801,0.000741896
Ube2g2,2.31E-24,0.809617267,0.272,0.12,5.69E-20
Ube2h,5.89E-44,0.684429103,0.876,0.656,1.45E-39
Ube2i,2.32E-10,0.258088937,0.465,0.311,5.72E-06
Ube2j1,5.99E-11,-0.883744018,0.369,0.433,1.48E-06
Ube2j2,0.002188712,0.00187912,0.575,0.447,1
Ube2k,0.000104514,0.118202309,0.874,0.775,1
Ube2l3,1.47E-09,0.282808546,0.587,0.428,3.62E-05
Ube2m,0.352492723,-0.440566755,0.276,0.268,1
Ube2n,0.638696541,-0.388820193,0.371,0.337,1
Ube2o,9.76E-06,0.224699092,0.68,0.55,0.240896696
Ube2q1,0.032536234,-0.150582154,0.138,0.106,1
Ube2q2,5.66E-72,1.114749953,0.752,0.454,1.40E-67
Ube2ql1,9.56E-187,2.092140716,0.823,0.387,2.36E-182
Ube2r2,2.59E-21,0.503296053,0.773,0.618,6.38E-17
Ube2s,0.297214332,-0.533520399,0.205,0.204,1
Ube2t,0.356553464,-0.721533024,0.025,0.03,1
Ube2v1,7.95E-09,0.251696361,0.268,0.167,0.000196165
Ube2v2,0.020774117,-0.373062646,0.492,0.47,1
Ube2w,0.027015045,0.04345183,0.88,0.791,1
Ube2z,0.000645482,0.200033556,0.142,0.098,1
Ube3a,2.29E-263,-1.281148501,0.977,0.997,5.65E-259
Ube3b,1.08E-13,0.418412724,0.463,0.302,2.67E-09
Ube3c,2.96E-09,0.215852372,0.888,0.756,7.29E-05
Ube4a,6.02E-05,0.206444585,0.723,0.598,1
Ube4b,2.94E-109,1.128232569,0.924,0.7,7.25E-105
Ube4bos1,3.67E-14,-0.89181431,0.372,0.457,9.04E-10
Ube4bos3,0.141087011,-0.987314077,0.004,0.01,1
Ubfd1,0.108912722,-0.240457906,0.111,0.089,1
Ubiad1,0.315189564,-0.602015945,0.047,0.055,1
Ubl3,0.231744743,-0.287178887,0.477,0.442,1
Ubl4a,0.008957252,0.284448424,0.054,0.034,1
Ubl5,1.89E-15,-1.498928716,0.166,0.277,4.66E-11
Ubl7,1.56E-10,-0.994814031,0.235,0.324,3.84E-06
Ublcp1,0.144412582,-0.025998893,0.234,0.199,1
Ubn1,2.19E-57,0.952071702,0.724,0.424,5.40E-53
Ubn2,8.98E-05,0.148531794,0.93,0.842,1
Ubox5,4.83E-05,0.124804376,0.223,0.154,1
Ubp1,5.61E-15,0.323295205,0.782,0.59,1.38E-10
Ubqln1,0.000133055,0.097724433,0.425,0.321,1
Ubqln2,0.395451973,-0.913527231,0.038,0.044,1
Ubqln4,0.001847817,0.069467917,0.287,0.22,1
Ubr1,9.55E-34,0.679361744,0.719,0.504,2.36E-29
Ubr2,1.23E-33,0.661749658,0.85,0.646,3.03E-29
Ubr3,0.001898338,0.115890032,0.953,0.876,1
Ubr4,4.02E-76,1.294320051,0.754,0.424,9.91E-72
Ubr5,3.26E-243,1.507087723,0.982,0.782,8.04E-239
Ubr7,0.807116199,-0.464477006,0.176,0.168,1
Ubtd1,8.61E-31,0.985357826,0.311,0.133,2.12E-26
Ubtd2,0.001638866,0.102647901,0.501,0.4,1
Ubtf,0.851085359,-0.321916248,0.268,0.251,1
Ubxn1,0.217719782,-0.493804816,0.123,0.134,1
