,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
C79798,0.073688851,-0.86440485,0.069,0.089,1
C87436,0.2667631,-0.002043487,0.268,0.236,1
C8a,0.895761836,0.007362156,0.023,0.022,1
C8b,2.17E-05,1.871573349,0.034,0.011,0.534178915
C8g,0.018500593,-2.297188427,0.005,0.017,1
C920021L13Rik,0.504451107,0.212749359,0.172,0.161,1
C9orf72,0.634554571,-0.144841509,0.199,0.2,1
CAAA01077340.1,0.643303414,0.16731169,0.008,0.01,1
CAAA01118383.1,3.61E-16,1.21217522,0.168,0.068,8.91E-12
CAAA01147332.1,4.26E-05,2.164426793,0.018,0.004,1
Caap1,0.149956914,-0.13936893,0.459,0.477,1
Cab39,1.92E-07,0.413663264,0.663,0.576,0.004728837
Cab39l,0.089034296,-0.181886161,0.449,0.466,1
Cabcoco1,1.01E-11,1.766569522,0.103,0.038,2.48E-07
Cabin1,0.004063234,0.184925783,0.72,0.681,1
Cables1,0.11807415,0.143995678,0.155,0.129,1
Cables2,0.575839881,-0.421772457,0.063,0.068,1
Cabp1,2.88E-51,0.736336841,0.905,0.848,7.10E-47
Cabp4,5.15E-05,-3.347787671,0.002,0.028,1
Cabp7,0.067910939,0.486858636,0.028,0.017,1
Cabyr,7.84E-25,-2.337109974,0.081,0.262,1.93E-20
Cacfd1,3.88E-07,0.711531704,0.167,0.096,0.009564829
Cachd1,2.33E-23,1.474065712,0.211,0.079,5.75E-19
Cacna1a,1.94E-06,0.277374446,0.995,0.999,0.047852526
Cacna1b,1.41E-42,0.69197552,0.934,0.874,3.49E-38
Cacna1c,1.12E-70,0.885896802,0.959,0.915,2.75E-66
Cacna1d,1.05E-71,-0.595291758,0.971,0.996,2.59E-67
Cacna1e,0.397268256,0.058952917,0.986,0.988,1
Cacna1f,1.40E-10,-2.989309342,0.02,0.095,3.45E-06
Cacna1g,2.89E-06,-0.517750305,0.214,0.306,0.071381402
Cacna1h,4.55E-05,-0.434796199,0.306,0.379,1
Cacna1i,2.53E-11,-0.586446602,0.329,0.462,6.24E-07
Cacna2d1,5.52E-07,0.469547923,0.979,0.979,0.013615278
Cacna2d2,0.000160373,-0.43770419,0.291,0.358,1
Cacna2d3,3.99E-11,0.167311439,0.998,0.999,9.85E-07
Cacna2d4,0.066687534,-0.767268778,0.023,0.037,1
Cacnb1,6.80E-12,0.741798448,0.391,0.257,1.68E-07
Cacnb2,1.48E-10,0.573739806,0.812,0.784,3.65E-06
Cacnb3,0.001790743,0.360225874,0.216,0.162,1
Cacnb4,8.82E-67,-0.550919403,0.982,0.996,2.18E-62
Cacng1,0.974491543,-0.286897392,0.014,0.014,1
Cacng2,7.34E-20,-0.713550401,0.417,0.582,1.81E-15
Cacng3,9.99E-106,-2.050294586,0.254,0.72,2.47E-101
Cacng6,0.121598337,-1.205404,0.011,0.02,1
Cacng7,1.69E-11,0.464137032,0.655,0.534,4.17E-07
Cacng8,0.115301479,0.157844983,0.744,0.73,1
Cactin,0.360620731,-0.143757329,0.07,0.081,1
Cacul1,1.87E-20,0.800194022,0.562,0.379,4.61E-16
Cacybp,0.004538952,-0.644461809,0.098,0.137,1
Cad,0.371535503,0.446368785,0.028,0.022,1
Cadm1,0.004859511,-0.073738023,0.881,0.91,1
Cadm2,1.06E-150,-0.69833526,1,1,2.63E-146
Cadm3,1.74E-26,1.10183631,0.499,0.303,4.30E-22
Cadm4,0.00111628,0.404390794,0.326,0.26,1
Cadps,1.34E-09,-0.111883846,0.997,0.999,3.32E-05
Cadps2,1.73E-25,-0.624551341,0.649,0.796,4.26E-21
Cage1,0.039517153,-0.451871778,0.096,0.124,1
CAG-Sox11,0,14.58553296,0.894,0,0
Calb1,0.000475267,1.284899569,0.011,0.002,1
Calcoco1,1.36E-13,0.753605097,0.424,0.274,3.35E-09
Calcrl,5.65E-19,3.334738182,0.051,0.005,1.39E-14
Cald1,2.59E-33,2.533510353,0.133,0.025,6.40E-29
Calhm2,6.96E-07,-1.776910346,0.035,0.094,0.017171959
Calhm5,0.430269051,-0.633753343,0.014,0.018,1
Calm1,6.14E-08,-0.382581823,0.671,0.756,0.001513893
Calm2,1.28E-127,-1.127273136,0.877,0.985,3.15E-123
Calm3,2.22E-07,-0.832579389,0.141,0.23,0.005479279
Calml4,0.006767641,-1.816002546,0.011,0.029,1
Caln1,2.65E-39,0.853970733,0.966,0.908,6.53E-35
Calr,0.047490203,-0.561918039,0.17,0.194,1
Calr3,0.041205941,-1.241564256,0.023,0.039,1
Calu,0.58914063,0.123849037,0.175,0.164,1
Caly,8.52E-10,-1.076820954,0.101,0.204,2.10E-05
Camk1,2.67E-60,2.272569803,0.417,0.15,6.58E-56
Camk1d,5.97E-10,0.251052543,0.988,0.975,1.47E-05
Camk1g,6.10E-12,-1.245152252,0.093,0.208,1.50E-07
Camk2a,0.317645292,0.045456357,0.977,0.991,1
Camk2b,0.016821493,0.005763226,0.755,0.803,1
Camk2d,4.35E-181,5.010631985,0.375,0.023,1.07E-176
Camk2g,0.006882728,0.269158838,0.717,0.706,1
Camk2n1,0.053695799,0.260204701,0.248,0.209,1
Camk2n2,3.92E-06,1.576267569,0.037,0.011,0.096667079
Camk4,1.50E-29,-0.504807444,0.608,0.811,3.69E-25
Camkk1,0.000168186,-0.661758175,0.181,0.24,1
Camkk2,1.95E-52,-1.179415156,0.441,0.715,4.81E-48
Camkmt,0.14268782,-0.007446912,0.802,0.85,1
Camkv,4.49E-126,-2.179252958,0.297,0.785,1.11E-121
Caml,1.95E-08,0.393181671,0.476,0.351,0.000481513
Camp,0.373884069,-0.156312899,0.009,0.014,1
Camsap1,9.99E-18,0.707739983,0.585,0.412,2.46E-13
Camsap2,9.49E-09,0.459325336,0.636,0.549,0.000234043
Camsap3,8.79E-09,0.895064406,0.173,0.095,0.000216828
Camta1,4.03E-130,0.688645632,0.998,0.996,9.95E-126
Camta2,0.001951887,-0.30417699,0.297,0.35,1
Cand1,2.04E-07,0.553268181,0.315,0.216,0.005022442
Cand2,0.114685335,0.253651219,0.031,0.02,1
Cant1,0.206671622,-0.640811351,0.038,0.049,1
Canx,0.893745739,-0.060432793,0.479,0.464,1
Cap1,1.08E-14,-0.727394653,0.423,0.547,2.67E-10
Cap2,1.87E-61,-0.609886488,0.911,0.976,4.61E-57
Capn1,2.58E-34,1.718225116,0.253,0.084,6.36E-30
Capn10,0.001152451,0.395306467,0.222,0.162,1
Capn11,4.34E-05,1.317152061,0.07,0.035,1
Capn12,0.050366376,-1.474033187,0.005,0.014,1
Capn15,1.18E-07,0.431414848,0.636,0.538,0.002900725
Capn2,2.41E-28,0.978722672,0.587,0.374,5.96E-24
Capn3,0.000140083,-1.760816769,0.008,0.036,1
Capn5,9.97E-26,1.870555617,0.167,0.049,2.46E-21
Capn6,0.097022739,0.271690263,0.043,0.03,1
Capn7,0.840950236,-0.027417132,0.363,0.357,1
Capn9,0.390740246,-1.640348745,0.006,0.01,1
Capns1,3.46E-34,1.373105184,0.355,0.148,8.55E-30
Caprin1,6.03E-20,0.625630941,0.721,0.575,1.49E-15
Caprin2,7.70E-18,1.071585124,0.266,0.128,1.90E-13
Capza1,6.02E-05,0.32753919,0.59,0.502,1
Capza2,3.34E-06,0.382402687,0.4,0.296,0.082453248
Capzb,4.71E-51,1.255839552,0.64,0.364,1.16E-46
Car10,1.56E-42,-0.845199576,0.7,0.837,3.86E-38
Car11,1.33E-05,-0.461630042,0.251,0.331,0.327309896
Car12,0.096164639,-0.557202568,0.1,0.12,1
Car13,1.76E-11,3.851061013,0.02,0.001,4.34E-07
Car15,0.44820614,0.248022109,0.014,0.01,1
Car2,0.293816061,-0.319592173,0.035,0.044,1
Car5a,0.063480461,-2.144814398,0.011,0.022,1
Car5b,0.047299735,-1.195446317,0.046,0.065,1
Car7,8.35E-51,-1.752697384,0.211,0.528,2.06E-46
Card10,9.25E-12,3.678866677,0.028,0.002,2.28E-07
Card19,8.07E-11,1.128260442,0.083,0.028,1.99E-06
Card9,0.041046469,-1.7832961,0.006,0.017,1
Carf,1.67E-11,0.623287679,0.433,0.294,4.11E-07
Carhsp1,0.222209041,-0.83310857,0.012,0.019,1
Carm1,2.17E-07,0.58129201,0.358,0.255,0.005360722
Carmil1,4.13E-12,0.43264526,0.862,0.801,1.02E-07
Carmil2,0.079910336,-0.616003071,0.047,0.065,1
Carmil3,4.40E-07,-0.815337164,0.139,0.228,0.010867195
Carnmt1,0.014081158,-0.253034485,0.314,0.357,1
Carns1,0.531387811,0.023728565,0.009,0.012,1
Cars,4.41E-54,1.565033242,0.56,0.28,1.09E-49
Cars2,0.673514988,0.129819407,0.257,0.248,1
Casc1,6.74E-08,1.070725413,0.092,0.04,0.001662465
Casc3,0.333742651,0.088223543,0.548,0.521,1
Casc4,0.561589266,-0.013530423,0.828,0.854,1
Casd1,0.055726705,0.252901466,0.248,0.212,1
Cask,3.11E-59,0.841758562,0.92,0.814,7.67E-55
Caskin1,0.89038,-0.041996402,0.256,0.248,1
Casp12,4.00E-16,3.336169093,0.043,0.005,9.86E-12
Casp2,0.001065975,0.577776569,0.132,0.089,1
Casp3,2.71E-112,2.890056761,0.403,0.073,6.70E-108
Casp6,2.12E-20,2.004078608,0.09,0.019,5.22E-16
Casp7,0.026397763,0.248160166,0.083,0.058,1
Casp8,0.373293524,-1.469607546,0.025,0.019,1
Casp8ap2,0.30847542,-0.013850432,0.21,0.185,1
Casp9,1.27E-11,1.351467008,0.144,0.065,3.14E-07
Casq1,0.038398887,-0.659973821,0.043,0.064,1
Casr,1.66E-22,5.236852001,0.041,0.001,4.11E-18
Cass4,0.211001578,-0.551225367,0.018,0.012,1
Cast,6.02E-58,1.542596701,0.599,0.305,1.48E-53
Castor2,1.01E-08,0.610635341,0.462,0.355,0.000248335
Casz1,0.180303609,0.226032569,0.152,0.129,1
Cat,1.28E-13,1.25178764,0.17,0.076,3.16E-09
Catip,0.000444089,1.383969893,0.023,0.007,1
Catsper2,9.65E-10,0.595851264,0.325,0.209,2.38E-05
Catsper3,1.01E-40,2.086299206,0.216,0.054,2.49E-36
Catsper4,0.000471481,2.051491715,0.011,0.002,1
Catsperb,1.65E-06,2.152317624,0.028,0.006,0.040756516
Catsperd,1.09E-05,0.490509524,0.188,0.121,0.268351362
Catspere1,1.39E-10,1.101775307,0.138,0.063,3.43E-06
Catspere2,1.61E-10,-0.458170607,0.487,0.602,3.97E-06
Catsperg1,5.36E-08,1.931067211,0.034,0.007,0.001321512
Catsperz,0.010602455,-1.163270661,0.006,0.021,1
Cav1,0.068253521,-1.07625347,0.009,0.02,1
Cav2,0.041379246,0.32439489,0.035,0.021,1
Cavin2,0.655832194,0.10853659,0.047,0.043,1
Cavin3,0.172168363,-0.601340858,0.012,0.02,1
Cavin4,5.37E-05,0.459409376,0.247,0.173,1
Cbarp,0.001452259,0.521974382,0.167,0.118,1
Cbfa2t2,0.966965425,0.036777719,0.715,0.723,1
Cbfa2t3,0.161767378,0.212692583,0.214,0.188,1
Cbfb,0.001671094,0.632540668,0.054,0.029,1
Cbl,3.23E-14,0.631883914,0.629,0.501,7.97E-10
Cblb,3.52E-78,1.676009311,0.691,0.367,8.67E-74
Cblc,1.65E-08,1.954891636,0.031,0.006,0.000407898
