,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CAG-Sox11,0,14.5855329619304,0.894,0,0
80BC0,0,14.9507500952515,0.749,0,0
Bc1,0,3.8575346497883,0.819,0.132,0
Abca1,0,5.57436340293468,0.68,0.035,0
80BC1,0,12.9861218206122,0.544,0,0
Ret,0,6.25844459834827,0.544,0.015,0
Nox4,0,7.83223902283737,0.51,0.006,0
4930419G24Rik,0,-3.63877615814319,0.617,0.998,0
Gm29266,1.43664838997048e-294,5.63480452763261,0.599,0.046,3.54435524289617e-290
Gm37459,1.83664868365971e-294,-3.63392827348607,0.394,0.968,4.53119596745687e-290
Nrg3os,1.94145793144518e-294,-2.32508599610319,0.778,0.997,4.78977086266841e-290
Ecel1,1.27239551983717e-289,7.22950948513693,0.461,0.006,3.13912698699027e-285
Ctnna3,1.30363640804686e-288,-2.4088749606203,0.798,0.996,3.21620138229242e-284
Gria2,2.45610406207385e-287,-1.58704894710524,0.962,0.999,6.0594543315424e-283
Gm20642,5.24476507915045e-283,-2.06812834527086,0.83,0.997,1.29393599267721e-278
Gria3,3.74440386476791e-281,-1.80875370724597,0.856,0.998,9.2378187747689e-277
Atf3,2.56370163833196e-276,6.33786587726076,0.505,0.022,6.32490831192877e-272
Ahi1,4.09770074754462e-275,-1.61190680912062,0.957,0.999,1.01094375142673e-270
Arpp21,4.62517939134051e-268,-1.34711264742334,0.985,1,1.14107800763762e-263
Rhoq,1.7142056019863e-266,3.32248921823131,0.896,0.357,4.2291166406604e-262
Thsd7a,7.66705298417193e-265,4.23250925320888,0.663,0.091,1.89153864172506e-260
Kcnn2,3.271454503956e-264,-2.03618226011686,0.784,0.99,8.07100540670984e-260
9630028H03Rik,1.05134711787321e-262,-3.14779671482699,0.432,0.953,2.59377847450499e-258
Slc7a14,1.26625032369874e-262,2.75929994176367,0.951,0.535,3.12396617359716e-258
Creb5,2.69348067666652e-262,4.28559405867963,0.6,0.061,6.64508617740398e-258
Micall1,7.36339055252074e-257,4.06574705382445,0.616,0.07,1.81662208321239e-252
Epb41l4a,7.78979248618679e-254,6.62515245006276,0.464,0.019,1.92181970426714e-249
Nkain2,6.2507313296542e-252,-1.26951836528538,0.995,1,1.54211792633899e-247
Azin2,1.37222032943866e-237,2.64098632315514,0.925,0.465,3.38540477475812e-233
Tafa1,1.47709903215621e-237,-1.29848948425421,0.994,1,3.64415102223258e-233
Sox11,2.71399968399373e-235,4.53190202031318,0.518,0.043,6.69570862038094e-231
Gm36975,8.12436181104567e-235,-2.48641117876197,0.56,0.956,2.00436130240308e-230
Myo10,8.07352618457965e-234,4.32058230458636,0.692,0.142,1.99181964499765e-229
Gm44151,2.26450536295412e-231,-2.30466549256069,0.58,0.96,5.58676118094411e-227
Gm43507,1.77319192792844e-229,-4.27512619275103,0.162,0.853,4.37464180539225e-225
Tenm4,4.96536644716133e-229,1.32226119267615,0.998,0.985,1.22500555617917e-224
Tox,1.126730523531e-228,-1.79776662981693,0.819,0.989,2.77975687460333e-224
Gm28376,7.19154867400982e-227,-2.47831042984127,0.55,0.956,1.77422697336496e-222
Grm5,3.77156497157729e-226,-1.30348205290921,0.956,1,9.30482794137834e-222
Ntm,3.315574213924e-224,-1.01280592404676,0.997,1,8.17985314317189e-220
5330438D12Rik,3.35247738292626e-224,-2.30336368058535,0.574,0.948,8.27089695141737e-220
Gm20275,4.1164376740757e-223,-2.50234049892007,0.492,0.942,1.01556633857122e-218
